종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201K1210","코스피200 C 201501 210.0","31.95","-0.65","32.70","32.70","31.95","36.00","31.95","3","48.0","263"
"201K1212","코스피200 C 201501 212.5","30.15","0.05","30.45","30.45","30.15","32.00","30.15","2","30.0","16"
"201K1215","코스피200 C 201501 215.0","27.05","-0.35","27.55","27.95","27.05","32.00","27.05","10","138.0","316"
"201K1217","코스피200 C 201501 217.5","26.00","0.95","25.40","26.00","25.40","32.00","26.00","10","129.0","28"
"201K1220","코스피200 C 201501 220.0","22.10","-0.15","22.80","22.80","22.10","28.00","22.10","3","34.0","131"
"201K1222","코스피200 C 201501 222.5","20.45","0.05","20.45","20.45","20.45","26.00","20.45","1","10.0","803"
"201K1225","코스피200 C 201501 225.0","17.60","-0.20","18.40","18.40","17.60","20.00","17.60","25","227.0","280"
"201K1227","코스피200 C 201501 227.5","15.25","-0.25","15.60","15.65","15.25","22.00","15.25","8","62.0","74"
"201K1230","코스피200 C 201501 230.0","12.65","-0.25","13.50","13.50","12.65","21.00","12.65","9","59.0","290"
"201K1232","코스피200 C 201501 232.5","10.70","-0.20","11.25","11.25","10.70","18.00","10.70","2","11.0","47"
"201K1235","코스피200 C 201501 235.0","8.35","-0.50","9.55","9.55","8.35","18.00","8.35","58","255.0","481"
"201K1237","코스피200 C 201501 237.5","6.35","-0.55","7.40","7.40","6.35","17.00","6.35","200","689.0","1394"
"201K1240","코스피200 C 201501 240.0","4.70","-0.40","5.70","5.70","4.70","16.00","4.70","1710","4377.0","4091"
"201K1242","코스피200 C 201501 242.5","3.30","-0.25","4.10","4.10","3.25","15.00","3.30","7975","14427.0","6019"
"201K1245","코스피200 C 201501 245.0","2.17","-0.22","2.72","2.78","2.14","15.00","2.17","73332","88067.0","14546"
"201K1247","코스피200 C 201501 247.5","1.35","-0.15","1.70","1.73","1.33","14.00","1.35","105413","78858.0","20143"
"201K1250","코스피200 C 201501 250.0","0.80","-0.08","1.00","1.03","0.76","14.00","0.80","139481","61147.0","28769"
"201K1252","코스피200 C 201501 252.5","0.45","-0.05","0.56","0.59","0.42","14.00","0.45","95707","23704.0","30446"
"201K1255","코스피200 C 201501 255.0","0.24","-0.02","0.29","0.32","0.23","14.00","0.24","56657","7665.0","35190"
"201K1257","코스피200 C 201501 257.5","0.11","-0.03","0.16","0.17","0.11","14.00","0.11","67781","4880.0","45584"
"201K1260","코스피200 C 201501 260.0","0.07","-0.01","0.09","0.10","0.07","14.00","0.07","80618","3298.0","50249"
"201K1262","코스피200 C 201501 262.5","0.04","0.00","0.04","0.06","0.04","14.00","0.04","28668","705.0","22519"
"201K1265","코스피200 C 201501 265.0","0.03","0.00","0.03","0.04","0.02","15.00","0.03","14851","223.0","17763"
"201K1267","코스피200 C 201501 267.5","0.02","0.00","0.02","0.03","0.02","16.00","0.02","8292","83.0","13774"
"201K1270","코스피200 C 201501 270.0","0.01","0.00","0.01","0.02","0.01","16.00","0.01","289","2.0","8703"
"201K1272","코스피200 C 201501 272.5","0.01","0.00","0.01","0.02","0.01","17.00","0.01","2436","12.0","6443"
"201K1275","코스피200 C 201501 275.0","0.01","0.00","0.01","0.01","0.01","18.00","0.01","578","3.0","7593"
"201K1277","코스피200 C 201501 277.5","0.01","0.00","0.01","0.01","0.01","20.00","0.01","5","0.0","3508"
"201K1280","코스피200 C 201501 280.0","0.01","0.00","0.01","0.01","0.01","21.00","0.01","2","0.0","3868"
"201K1282","코스피200 C 201501 282.5","0.01","0.00","0.01","0.01","0.01","21.00","0.01","10","0.0","1618"
"201K1285","코스피200 C 201501 285.0",,,,,,"14.00","0.01","1","0.0","1052"
"201K1287","코스피200 C 201501 287.5","0.01","0.00","0.01","0.01","0.01","24.00","0.01","2","0.0","1953"
"201K1290","코스피200 C 201501 290.0","0.01","0.00","0.01","0.01","0.01","25.00","0.01","4","0.0","2978"
"201K1292","코스피200 C 201501 292.5",,,,,,"14.00","0.01","1","0.0","1107"
"201K1295","코스피200 C 201501 295.0","0.01","0.00","0.01","0.01","0.01","27.00","0.01","12","0.0","7032"
"201K2210","코스피200 C 201502 210.0","32.25","-0.35","32.45","32.45","32.25","20.00","32.25","4","65.0","31"
"201K2212","코스피200 C 201502 212.5",,,,,,"14.00","29.40","0","0.0","0"
"201K2215","코스피200 C 201502 215.0",,,,,,"14.00","26.95","0","0.0","0"
"201K2217","코스피200 C 201502 217.5",,,,,,"14.00","24.55","0","0.0","0"
"201K2220","코스피200 C 201502 220.0",,,,,,"14.00","22.15","0","0.0","2"
"201K2222","코스피200 C 201502 222.5",,,,,,"14.00","19.85","0","0.0","0"
"201K2225","코스피200 C 201502 225.0","18.70","0.00","19.00","19.00","18.70","19.00","18.70","4","38.0","4"
"201K2227","코스피200 C 201502 227.5","16.70","0.25","16.65","16.70","16.65","17.00","16.70","5","42.0","4"
"201K2230","코스피200 C 201502 230.0",,,,,,"14.00","13.40","0","0.0","14"
"201K2232","코스피200 C 201502 232.5","12.50","0.25","12.45","12.50","12.45","16.00","12.50","7","44.0","17"
"201K2235","코스피200 C 201502 235.0",,,,,,"14.00","9.70","0","0.0","7"
"201K2237","코스피200 C 201502 237.5","8.65","0.15","8.65","8.65","8.65","15.00","8.65","1","4.0","32"
"201K2240","코스피200 C 201502 240.0","7.10","0.15","7.00","7.15","7.00","15.00","7.10","21","74.0","139"
"201K2242","코스피200 C 201502 242.5","5.40","-0.15","5.70","6.05","5.40","14.00","5.40","67","192.0","186"
"201K2245","코스피200 C 201502 245.0","4.35","-0.10","4.60","4.80","4.35","14.00","4.35","109","247.0","330"
"201K2247","코스피200 C 201502 247.5","3.20","-0.25","3.35","3.60","3.20","14.00","3.20","97","167.0","385"
"201K2250","코스피200 C 201502 250.0","2.33","-0.07","2.60","2.72","2.33","13.00","2.33","202","255.0","456"
"201K2252","코스피200 C 201502 252.5","1.73","-0.08","1.75","2.00","1.73","13.00","1.73","346","320.0","630"
"201K2255","코스피200 C 201502 255.0","1.21","-0.07","1.28","1.42","1.21","13.00","1.21","1210","798.0","1746"
"201K2257","코스피200 C 201502 257.5","0.86","-0.04","0.97","0.99","0.85","13.00","0.86","953","441.0","1438"
"201K2260","코스피200 C 201502 260.0","0.59","-0.04","0.66","0.69","0.58","13.00","0.59","783","252.0","2246"
"201K2262","코스피200 C 201502 262.5","0.40","-0.02","0.46","0.47","0.39","13.00","0.40","455","99.0","1414"
"201K2265","코스피200 C 201502 265.0","0.26","-0.03","0.30","0.32","0.26","13.00","0.26","878","131.0","2824"
"201K2267","코스피200 C 201502 267.5","0.19","-0.01","0.23","0.24","0.19","14.00","0.19","224","23.0","1785"
"201K2270","코스피200 C 201502 270.0","0.14","0.00","0.14","0.16","0.14","14.00","0.14","196","14.0","3184"
"201K2272","코스피200 C 201502 272.5","0.10","-0.01","0.12","0.12","0.10","14.00","0.10","118","6.0","951"
"201K2275","코스피200 C 201502 275.0","0.07","-0.01","0.08","0.09","0.07","14.00","0.07","81","3.0","1401"
"201K2277","코스피200 C 201502 277.5","0.05","-0.01","0.06","0.07","0.05","14.00","0.05","38","1.0","576"
"201K2280","코스피200 C 201502 280.0","0.05","0.00","0.05","0.05","0.04","15.00","0.05","21","1.0","920"
"201K2282","코스피200 C 201502 282.5","0.04","0.00","0.04","0.04","0.04","16.00","0.04","1","0.0","329"
"201K2285","코스피200 C 201502 285.0","0.03","0.00","0.03","0.03","0.03","16.00","0.03","31","0.0","397"
