종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201K9202","코스피200 C 201509 202.5","25.20","-4.10","24.95","25.40","24.70","3.00","25.20","30","376.0","30"
"201K9205","코스피200 C 201509 205.0","23.30","-3.15","22.50","23.30","22.50","36.00","23.30","4","46.0","4"
"201K9207","코스피200 C 201509 207.5","20.20","-3.75","19.95","20.45","19.95","3.00","20.20","5","51.0","273"
"201K9210","코스피200 C 201509 210.0","18.55","-2.85","18.25","18.55","17.50","32.00","18.55","170","1538.0","862"
"201K9212","코스피200 C 201509 212.5","16.00","-4.15","16.00","16.00","15.70","20.00","16.00","9","71.0","21"
"201K9215","코스피200 C 201509 215.0","13.50","-3.95","12.20","13.90","12.20","22.00","13.50","53","352.0","61"
"201K9217","코스피200 C 201509 217.5","11.15","-3.90","11.50","11.50","11.15","19.00","11.15","63","375.0","50"
"201K9220","코스피200 C 201509 220.0","9.55","-2.45","8.00","9.63","8.00","23.00","9.55","68","322.0","342"
"201K9222","코스피200 C 201509 222.5","7.71","-1.96","6.35","8.00","6.35","22.00","7.71","1205","4425.0","365"
"201K9225","코스피200 C 201509 225.0","6.06","-1.51","4.68","6.20","4.02","22.00","6.06","2416","6862.0","1291"
"201K9227","코스피200 C 201509 227.5","4.40","-1.27","3.23","4.57","3.00","20.00","4.40","6937","14275.0","2578"
"201K9230","코스피200 C 201509 230.0","3.00","-1.00","2.07","3.19","2.00","19.00","3.00","68915","96461.0","7209"
"201K9232","코스피200 C 201509 232.5","1.88","-0.79","1.25","2.08","1.20","17.00","1.88","131231","117108.0","11721"
"201K9235","코스피200 C 201509 235.0","1.03","-0.60","0.70","1.24","0.67","16.00","1.03","177067","90154.0","19608"
"201K9237","코스피200 C 201509 237.5","0.54","-0.38","0.38","0.67","0.34","15.00","0.54","192784","51224.0","29702"
"201K9240","코스피200 C 201509 240.0","0.24","-0.23","0.19","0.33","0.17","15.00","0.24","204262","25125.0","50667"
"201K9242","코스피200 C 201509 242.5","0.12","-0.10","0.11","0.15","0.08","15.00","0.12","163272","9498.0","35623"
"201K9245","코스피200 C 201509 245.0","0.06","-0.04","0.06","0.08","0.04","15.00","0.06","101879","3232.0","50102"
