종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201H7217","코스피200 C 201307 217.5","19.35","-0.40","22.05","22.05","19.35","3.00","19.35","30","307.0","58"
"201H7220","코스피200 C 201307 220.0","16.95","-1.05","19.70","19.70","16.95","3.00","16.95","32","280.0","48"
"201H7222","코스피200 C 201307 222.5","14.40","-0.70","17.05","17.10","14.30","24.00","14.40","41","311.0","208"
"201H7225","코스피200 C 201307 225.0","13.35","0.05","14.60","14.60","12.00","38.00","13.35","144","891.0","388"
"201H7227","코스피200 C 201307 227.5","10.50","-0.55","13.60","13.60","9.45","28.00","10.50","122","655.0","950"
"201H7230","코스피200 C 201307 230.0","8.40","-0.30","10.85","11.30","7.00","27.00","8.40","487","2109.0","2710"
"201H7232","코스피200 C 201307 232.5","6.35","-0.15","8.05","8.90","4.95","25.50","6.35","3555","11282.0","4195"
"201H7235","코스피200 C 201307 235.0","4.35","-0.15","5.80","6.65","3.15","23.00","4.35","16001","34854.0","8648"
"201H7237","코스피200 C 201307 237.5","2.65","-0.19","3.75","4.65","1.81","20.50","2.65","127739","158433.0","11534"
"201H7240","코스피200 C 201307 240.0","1.44","-0.13","2.30","2.95","0.95","19.30","1.44","312038","237300.0","21930"
"201H7242","코스피200 C 201307 242.5","0.70","-0.05","1.21","1.65","0.43","18.40","0.70","434339","158339.0","32670"
"201H7245","코스피200 C 201307 245.0","0.29","-0.02","0.57","0.82","0.18","18.10","0.29","483994","84158.0","49039"
"201H7247","코스피200 C 201307 247.5","0.12","0.00","0.24","0.36","0.07","18.10","0.12","316158","23533.0","45238"
"201H7250","코스피200 C 201307 250.0","0.06","0.01","0.10","0.16","0.03","19.10","0.06","173052","6879.0","50718"
"201H7252","코스피200 C 201307 252.5","0.03","0.00","0.05","0.08","0.01","20.10","0.03","119785","2265.0","37053"
"201H7255","코스피200 C 201307 255.0","0.01","-0.01","0.03","0.04","0.01","20.10","0.01","32050","318.0","39280"
"201H7257","코스피200 C 201307 257.5","0.01","-0.01","0.02","0.03","0.01","22.40","0.01","18504","112.0","43605"
"201H7260","코스피200 C 201307 260.0","0.01","0.00","0.01","0.02","0.01","24.90","0.01","10474","52.0","33729"
"201H7262","코스피200 C 201307 262.5","0.01","0.00","0.01","0.01","0.01","27.30","0.01","901","5.0","21935"
"201H7265","코스피200 C 201307 265.0","0.01","0.00","0.01","0.01","0.01","29.80","0.01","22","0.0","20233"
"201H7267","코스피200 C 201307 267.5","0.01","0.00","0.01","0.01","0.01","31.90","0.01","113","1.0","16840"
"201H7270","코스피200 C 201307 270.0","0.01","0.00","0.01","0.01","0.01","33.00","0.01","1206","6.0","14849"
"201H7272","코스피200 C 201307 272.5","0.01","0.00","0.01","0.01","0.01","36.40","0.01","142","1.0","10604"
"201H7275","코스피200 C 201307 275.0","0.01","0.00","0.01","0.01","0.01","38.60","0.01","189","1.0","5687"
"201H7277","코스피200 C 201307 277.5","0.01","0.00","0.01","0.01","0.01","40.70","0.01","364","2.0","13163"
"201H8217","코스피200 C 201308 217.5","20.40","-0.40","22.10","22.10","20.40","8.00","20.40","42","451.0","48"
"201H8220","코스피200 C 201308 220.0","19.40","0.10","17.80","19.40","17.80","8.00","19.40","22","203.0","37"
"201H8222","코스피200 C 201308 222.5","17.20","1.00","18.15","18.15","17.20","14.00","17.20","23","200.0","60"
"201H8225","코스피200 C 201308 225.0","14.10","-0.40","14.10","14.10","14.10","19.00","14.10","1","7.0","17"
"201H8227","코스피200 C 201308 227.5","12.40","0.40","12.40","12.40","12.40","17.50","12.40","1","6.0","44"
"201H8230","코스피200 C 201308 230.0","9.75","-1.00","11.55","11.55","9.75","17.50","9.75","5","27.0","87"
"201H8232","코스피200 C 201308 232.5","8.00","-0.15","9.55","9.55","8.00","17.00","8.00","9","39.0","292"
"201H8235","코스피200 C 201308 235.0","6.90","-0.25","8.65","8.65","6.20","18.30","6.90","306","1056.0","521"
"201H8237","코스피200 C 201308 237.5","5.50","-0.20","6.50","7.30","4.85","18.00","5.50","612","1672.0","717"
"201H8240","코스피200 C 201308 240.0","4.40","0.00","4.95","5.75","3.70","18.30","4.40","1214","2601.0","1413"
"201H8242","코스피200 C 201308 242.5","3.30","-0.05","3.95","4.45","2.71","17.90","3.30","3124","4776.0","2336"
"201H8245","코스피200 C 201308 245.0","2.40","0.00","2.96","3.30","1.95","17.40","2.40","7239","8270.0","5332"
"201H8247","코스피200 C 201308 247.5","1.63","-0.04","2.10","2.39","1.37","16.80","1.63","11684","9586.0","6324"
"201H8250","코스피200 C 201308 250.0","1.12","-0.03","1.48","1.69","0.93","16.80","1.12","12197","7063.0","7199"
"201H8252","코스피200 C 201308 252.5","0.75","0.04","0.98","1.14","0.62","16.50","0.75","11544","4515.0","7620"
"201H8255","코스피200 C 201308 255.0","0.49","0.00","0.64","0.76","0.40","16.40","0.49","8635","2197.0","5679"
"201H8257","코스피200 C 201308 257.5","0.31","-0.01","0.40","0.49","0.26","16.40","0.31","5273","895.0","3562"
"201H8260","코스피200 C 201308 260.0","0.20","0.00","0.27","0.31","0.16","16.40","0.20","4021","441.0","4048"
"201H8262","코스피200 C 201308 262.5","0.12","-0.01","0.17","0.20","0.10","16.30","0.12","2046","147.0","2120"
"201H8265","코스피200 C 201308 265.0","0.08","0.00","0.12","0.12","0.06","16.70","0.08","2014","93.0","2867"
"201H8267","코스피200 C 201308 267.5","0.06","0.00","0.09","0.09","0.05","17.10","0.06","832","25.0","1950"
"201H8270","코스피200 C 201308 270.0","0.03","-0.01","0.05","0.06","0.03","16.80","0.03","840","18.0","1649"
"201H8272","코스피200 C 201308 272.5","0.03","0.00","0.04","0.04","0.02","17.90","0.03","452","7.0","1419"
"201H8275","코스피200 C 201308 275.0","0.03","0.00","0.03","0.04","0.02","18.90","0.03","338","5.0","1839"
"201H8277","코스피200 C 201308 277.5","0.03","0.00","0.03","0.03","0.02","19.90","0.03","844","12.0","3845"
"201H9217","코스피200 C 201309 217.5","22.35","0.00","22.35","22.35","22.35","20.00","22.35","1","11.0","14"
"201H9220","코스피200 C 201309 220.0","20.20","0.15","20.20","20.20","20.20","19.00","20.20","1","10.0","14"
"201H9222","코스피200 C 201309 222.5","18.10","0.00","18.10","18.10","18.10","19.00","18.10","1","9.0","9"
"201H9225","코스피200 C 201309 225.0","16.10","0.00","16.10","16.10","16.10","18.50","16.10","1","8.0","55"
"201H9227","코스피200 C 201309 227.5","14.20","0.05","14.20","14.20","14.20","18.00","14.20","1","7.0","13"
"201H9230","코스피200 C 201309 230.0","12.35","-0.10","13.25","13.25","12.35","18.00","12.35","2","13.0","111"
"201H9232","코스피200 C 201309 232.5","10.65","0.00","11.90","11.90","10.65","17.00","10.65","4","23.0","76"
"201H9235","코스피200 C 201309 235.0","8.90","-0.70","10.20","10.20","8.90","17.10","8.90","7","32.0","425"
"201H9237","코스피200 C 201309 237.5","7.55","-0.35","8.65","8.65","7.30","17.00","7.55","8","31.0","191"
"201H9240","코스피200 C 201309 240.0","6.15","-0.60","7.40","7.40","6.15","17.30","6.15","24","83.0","864"
"201H9242","코스피200 C 201309 242.5","5.70","0.05","6.90","6.90","5.10","17.90","5.70","62","175.0","240"
"201H9245","코스피200 C 201309 245.0","4.50","0.10","5.10","5.60","4.05","17.40","4.50","123","271.0","1144"
"201H9247","코스피200 C 201309 247.5","3.45","-0.10","3.85","4.05","3.20","16.60","3.45","173","294.0","715"
"201H9250","코스피200 C 201309 250.0","2.91","0.03","3.30","3.55","2.48","17.10","2.91","233","336.0","1055"
"201H9252","코스피200 C 201309 252.5","2.09","-0.06","2.52","2.59","1.92","16.20","2.09","200","220.0","646"
"201H9255","코스피200 C 201309 255.0","1.64","-0.02","1.91","2.16","1.43","16.40","1.64","222","187.0","1182"
"201H9257","코스피200 C 201309 257.5","1.20","-0.02","1.40","1.63","1.08","15.90","1.20","185","116.0","634"
"201H9260","코스피200 C 201309 260.0","0.89","0.01","1.02","1.21","0.79","16.00","0.89","395","184.0","1567"
"201H9262","코스피200 C 201309 262.5","0.65","-0.01","0.84","0.93","0.58","15.80","0.65","275","100.0","911"
"201H9265","코스피200 C 201309 265.0","0.46","0.02","0.60","0.65","0.42","15.80","0.46","302","77.0","2553"
"201H9267","코스피200 C 201309 267.5","0.32","-0.02","0.43","0.44","0.30","15.70","0.32","164","29.0","626"
"201H9270","코스피200 C 201309 270.0","0.24","0.02","0.27","0.32","0.21","15.80","0.24","191","25.0","1669"
"201H9272","코스피200 C 201309 272.5","0.17","0.01","0.21","0.21","0.16","15.70","0.17","171","16.0","977"
"201H9275","코스피200 C 201309 275.0","0.12","0.00","0.15","0.16","0.11","15.90","0.12","114","7.0","1837"
"201H9277","코스피200 C 201309 277.5","0.09","0.00","0.11","0.12","0.08","15.80","0.09","80","4.0","671"
"201H9280","코스피200 C 201309 280.0","0.06","-0.01","0.08","0.09","0.06","15.90","0.06","433","15.0","5627"
"201HC215","코스피200 C 201312 215.0","27.65","-1.05","27.90","27.90","27.65","18.50","27.65","6","83.0","80"
"201HC220","코스피200 C 201312 220.0","24.10","0.15","24.10","24.10","24.10","19.00","24.10","1","12.0","16"
"201HC225","코스피200 C 201312 225.0","20.30","0.10","20.30","20.30","20.30","18.50","20.30","1","10.0","82"
"201HC230","코스피200 C 201312 230.0","17.40","0.80","18.55","18.60","16.40","19.00","17.40","14","123.0","249"
"201HC235","코스피200 C 201312 235.0","14.20","0.40","15.00","15.00","13.20","18.50","14.20","10","69.0","405"
"201HC240","코스피200 C 201312 240.0","11.35","0.45","12.15","12.55","10.75","18.00","11.35","9","52.0","320"
"201HC245","코스피200 C 201312 245.0","8.30","-0.30","10.00","10.00","8.30","16.10","8.30","6","29.0","517"
"201HC250","코스피200 C 201312 250.0","6.25","-0.15","7.65","7.65","6.25","16.30","6.25","24","84.0","356"
"201HC255","코스피200 C 201312 255.0","5.00","0.00","5.30","5.40","4.75","16.60","5.00","32","79.0","620"
"201HC260","코스피200 C 201312 260.0","3.75","0.15","4.05","4.30","3.45","16.60","3.75","379","690.0","3355"
"301H7217","코스피200 P 201307 217.5","0.03","0.01","0.02","0.10","0.01","27.40","0.03","104676","1887.0","42570"
"301H7220","코스피200 P 201307 220.0","0.03","0.00","0.02","0.14","0.01","24.30","0.03","87968","2231.0","19795"
"301H7222","코스피200 P 201307 222.5","0.06","0.01","0.03","0.20","0.02","23.30","0.06","136234","5061.0","21995"
"301H7225","코스피200 P 201307 225.0","0.09","-0.01","0.05","0.26","0.04","21.30","0.09","108628","6301.0","25602"
"301H7227","코스피200 P 201307 227.5","0.15","0.00","0.08","0.39","0.06","19.60","0.15","172421","14143.0","30680"
"301H7230","코스피200 P 201307 230.0","0.29","0.01","0.13","0.60","0.12","18.20","0.29","273049","39744.0","42505"
"301H7232","코스피200 P 201307 232.5","0.55","0.04","0.27","1.00","0.22","16.70","0.55","478885","116570.0","36967"
"301H7235","코스피200 P 201307 235.0","1.07","0.09","0.55","1.65","0.46","15.80","1.07","348136","173879.0","27812"
"301H7237","코스피200 P 201307 237.5","1.92","0.12","1.07","2.80","0.91","14.30","1.92","298468","268348.0","20168"
"301H7240","코스피200 P 201307 240.0","3.25","0.20","2.00","4.45","1.69","12.50","3.25","113997","149099.0","18389"
"301H7242","코스피200 P 201307 242.5","4.95","0.25","3.35","6.45","2.91","3.00","4.95","19889","44464.0","11860"
"301H7245","코스피200 P 201307 245.0","7.00","0.30","5.15","8.60","4.60","3.00","7.00","4685","14309.0","7108"
"301H7247","코스피200 P 201307 247.5","9.45","0.35","7.45","10.85","6.65","3.00","9.45","496","2093.0","4955"
"301H7250","코스피200 P 201307 250.0","11.90","0.35","10.00","13.35","9.00","3.00","11.90","225","1238.0","4768"
"301H7252","코스피200 P 201307 252.5","14.95","0.75","11.70","15.50","11.70","3.00","14.95","38","259.0","2183"
"301H7255","코스피200 P 201307 255.0","17.30","0.70","14.00","18.00","14.00","3.00","17.30","37","316.0","4277"
"301H7257","코스피200 P 201307 257.5","19.55","0.15","16.50","20.25","16.50","3.00","19.55","30","292.0","759"
"301H7260","코스피200 P 201307 260.0","22.35","0.85","19.70","22.90","19.70","3.00","22.35","8","87.0","743"
"301H7262","코스피200 P 201307 262.5","24.70","-0.25","21.75","25.45","21.75","3.00","24.70","17","212.0","329"
"301H7265","코스피200 P 201307 265.0","27.15","-0.40","25.40","27.20","25.40","48.00","27.15","13","176.0","215"
"301H7267","코스피200 P 201307 267.5","29.85","-0.10","26.40","30.40","26.40","3.00","29.85","16","240.0","161"
"301H7270","코스피200 P 201307 270.0","32.20","0.50","30.40","33.00","30.40","3.00","32.20","12","196.0","166"
"301H7272","코스피200 P 201307 272.5","35.15","0.15","32.90","35.40","32.90","32.00","35.15","21","369.0","89"
"301H7275","코스피200 P 201307 275.0","38.25","0.75","35.70","38.25","35.70","64.00","38.25","39","735.0","406"
"301H7277","코스피200 P 201307 277.5","40.25","1.15","38.20","40.80","38.20","32.00","40.25","64","1291.0","1087"
"301H8217","코스피200 P 201308 217.5","0.64","0.09","0.37","0.76","0.37","21.80","0.64","7652","2152.0","6971"
"301H8220","코스피200 P 201308 220.0","0.81","0.13","0.50","0.98","0.47","20.80","0.81","5230","1889.0","3787"
"301H8222","코스피200 P 201308 222.5","1.13","0.21","0.70","1.25","0.62","20.90","1.13","5081","2414.0","3767"
"301H8225","코스피200 P 201308 225.0","1.28","0.05","0.96","1.63","0.82","19.10","1.28","7231","4619.0","4787"
"301H8227","코스피200 P 201308 227.5","1.73","0.14","1.22","2.11","1.10","19.00","1.73","6359","5166.0","3194"
"301H8230","코스피200 P 201308 230.0","2.13","0.04","1.65","2.75","1.47","17.80","2.13","8439","9181.0","5623"
"301H8232","코스피200 P 201308 232.5","2.82","0.16","2.18","3.50","1.94","17.50","2.82","4234","5514.0","2372"
"301H8235","코스피200 P 201308 235.0","3.70","0.25","2.78","4.45","2.56","17.30","3.70","1867","3242.0","1660"
"301H8237","코스피200 P 201308 237.5","4.70","0.20","3.70","5.60","3.35","16.60","4.70","881","2019.0","1573"
"301H8240","코스피200 P 201308 240.0","6.10","0.45","4.40","6.90","4.35","16.90","6.10","431","1216.0","1207"
"301H8242","코스피200 P 201308 242.5","7.20","0.10","5.80","8.35","5.55","15.50","7.20","238","815.0","753"
"301H8245","코스피200 P 201308 245.0","8.80","0.20","7.55","9.90","6.95","14.80","8.80","70","283.0","851"
"301H8247","코스피200 P 201308 247.5","11.65","1.15","9.60","11.65","9.60","17.50","11.65","3","16.0","343"
"301H8250","코스피200 P 201308 250.0","12.80","0.25","11.05","13.55","10.50","14.00","12.80","15","93.0","318"
"301H8252","코스피200 P 201308 252.5","15.60","0.90","14.05","15.60","14.05","16.00","15.60","2","15.0","2320"
"301H8255","코스피200 P 201308 255.0","17.60","0.60","15.50","17.70","15.50","21.00","17.60","8","69.0","120"
"301H8257","코스피200 P 201308 257.5","20.00","0.35","20.00","20.00","20.00","18.00","20.00","1","10.0","167"
"301H8260","코스피200 P 201308 260.0","21.15","-1.10","21.15","21.15","21.15","20.00","21.15","9","95.0","107"
"301H8262","코스피200 P 201308 262.5","24.60","0.60","23.35","24.60","23.35","22.00","24.60","19","228.0","123"
"301H8265","코스피200 P 201308 265.0","25.45","-1.75","24.90","25.50","24.90","16.00","25.45","14","178.0","49"
"301H8267","코스피200 P 201308 267.5","28.15","-1.55","28.15","28.15","28.15","16.00","28.15","9","127.0","81"
"301H8270","코스피200 P 201308 270.0","32.35","0.20","29.10","32.35","29.10","24.00","32.35","23","345.0","63"
"301H8272","코스피200 P 201308 272.5","34.70","0.05","34.70","34.70","34.70","24.00","34.70","1","17.0","35"
"301H8275","코스피200 P 201308 275.0","37.20","0.05","37.20","37.20","37.20","24.00","37.20","1","19.0","18"
"301H8277","코스피200 P 201308 277.5","40.20","0.55","39.50","40.20","39.50","34.00","40.20","20","398.0","53"
"301H9217","코스피200 P 201309 217.5","1.47","0.03","1.24","1.79","1.13","20.00","1.47","795","549.0","4582"
"301H9220","코스피200 P 201309 220.0","1.83","0.09","1.55","2.11","1.40","19.60","1.83","273","238.0","1094"
"301H9222","코스피200 P 201309 222.5","2.20","0.07","1.67","2.52","1.67","19.20","2.20","524","534.0","1278"
"301H9225","코스피200 P 201309 225.0","2.85","0.24","2.04","3.05","2.04","19.30","2.85","287","392.0","1195"
"301H9227","코스피200 P 201309 227.5","3.25","0.20","2.55","3.65","2.55","18.40","3.25","56","85.0","477"
"301H9230","코스피200 P 201309 230.0","3.90","0.10","3.15","4.35","3.00","18.10","3.90","182","339.0","2322"
"301H9232","코스피200 P 201309 232.5","4.55","0.10","3.65","5.15","3.65","17.40","4.55","79","179.0","455"
"301H9235","코스피200 P 201309 235.0","5.70","0.45","4.45","6.15","4.40","17.90","5.70","76","209.0","5280"
"301H9237","코스피200 P 201309 237.5","6.80","0.50","5.85","7.05","5.75","17.80","6.80","11","35.0","747"
"301H9240","코스피200 P 201309 240.0","8.35","0.90","6.75","8.35","6.75","18.00","8.35","10","37.0","2820"
"301H9242","코스피200 P 201309 242.5","8.30","-0.50","8.00","8.50","8.00","17.00","8.30","9","37.0","185"
"301H9245","코스피200 P 201309 245.0","11.20","0.95","9.45","11.20","9.30","17.50","11.20","34","170.0","1466"
"301H9247","코스피200 P 201309 247.5","11.80","-0.35","10.20","12.15","10.20","17.30","11.80","5","28.0","310"
"301H9250","코스피200 P 201309 250.0","13.50","0.45","12.65","14.50","12.65","14.50","13.50","5","34.0","1355"
