종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201GC220","코스피200 C 201212 220.0","28.15","0.45","27.85","28.15","26.55","24.00","28.15","13","179.0","1186"
"201GC222","코스피200 C 201212 222.5","25.60","1.65","24.85","25.60","24.85","20.00","25.60","4","50.0","327"
"201GC225","코스피200 C 201212 225.0","23.20","0.90","22.45","23.20","22.45","20.00","23.20","3","34.0","249"
"201GC227","코스피200 C 201212 227.5","20.75","0.90","20.05","20.75","20.05","18.00","20.75","2","20.0","75"
"201GC230","코스피200 C 201212 230.0","18.55","1.50","17.90","18.55","17.75","21.00","18.55","21","189.0","348"
"201GC232","코스피200 C 201212 232.5","16.10","1.25","16.25","16.25","15.00","18.00","16.10","17","135.0","206"
"201GC235","코스피200 C 201212 235.0","13.85","1.20","13.20","13.85","13.20","18.00","13.85","2","14.0","187"
"201GC237","코스피200 C 201212 237.5","12.00","0.90","11.10","12.00","11.10","17.00","12.00","17","101.0","145"
"201GC240","코스피200 C 201212 240.0","9.95","0.55","9.40","9.95","8.70","16.50","9.95","258","1224.0","1439"
"201GC242","코스피200 C 201212 242.5","8.05","0.35","7.40","8.10","6.90","16.00","8.05","1927","7204.0","1179"
"201GC245","코스피200 C 201212 245.0","6.45","0.40","5.95","6.45","5.35","16.30","6.45","3543","10416.0","2824"
"201GC247","코스피200 C 201212 247.5","4.90","0.35","4.55","4.95","4.05","15.60","4.90","13222","29455.0","3824"
"201GC250","코스피200 C 201212 250.0","3.75","0.30","3.30","3.75","2.92","15.90","3.75","15811","26161.0","10905"
"201GC252","코스피200 C 201212 252.5","2.55","0.08","2.35","2.62","2.07","15.10","2.55","99758","117094.0","10402"
"201GC255","코스피200 C 201212 255.0","1.80","0.09","1.63","1.82","1.42","15.10","1.80","93293","75657.0","15952"
"201GC257","코스피200 C 201212 257.5","1.22","0.06","1.08","1.23","0.94","14.90","1.22","94954","51665.0","14944"
"201GC260","코스피200 C 201212 260.0","0.79","0.03","0.71","0.81","0.61","14.90","0.79","83565","29810.0","25090"
"201GC262","코스피200 C 201212 262.5","0.51","0.01","0.44","0.52","0.39","15.00","0.51","66417","15188.0","22445"
"201GC265","코스피200 C 201212 265.0","0.33","0.01","0.29","0.33","0.25","15.20","0.33","59231","8597.0","30728"
"201GC267","코스피200 C 201212 267.5","0.22","0.03","0.18","0.22","0.16","15.40","0.22","29210","2715.0","17903"
"201GC270","코스피200 C 201212 270.0","0.13","0.01","0.12","0.14","0.10","15.50","0.13","22594","1349.0","23705"
"201GC272","코스피200 C 201212 272.5","0.09","0.02","0.08","0.09","0.07","15.90","0.09","26032","1066.0","14918"
"201GC275","코스피200 C 201212 275.0","0.06","0.00","0.05","0.06","0.05","16.30","0.06","12364","368.0","13534"
"201GC277","코스피200 C 201212 277.5","0.04","0.00","0.04","0.05","0.03","16.70","0.04","20633","413.0","12441"
"201GC280","코스피200 C 201212 280.0","0.03","0.00","0.03","0.04","0.02","17.30","0.03","32687","490.0","30830"
"201H1232","코스피200 C 201301 232.5","15.55","0.65","14.90","15.55","14.90","18.50","15.55","2","15.0","28"
"201H1235","코스피200 C 201301 235.0","13.00","0.05","12.95","13.00","12.95","17.50","13.00","2","13.0","26"
"201H1237","코스피200 C 201301 237.5","11.10","0.15","11.10","11.10","11.10","17.30","11.10","1","6.0","29"
"201H1240","코스피200 C 201301 240.0","9.90","0.15","9.40","9.90","9.40","17.30","9.90","3","15.0","719"
"201H1242","코스피200 C 201301 242.5","8.35","0.45","7.60","8.35","7.35","16.30","8.35","22","87.0","117"
"201H1245","코스피200 C 201301 245.0","7.00","0.25","6.55","7.00","6.00","16.30","7.00","106","343.0","273"
"201H1247","코스피200 C 201301 247.5","5.70","0.20","5.55","5.70","4.80","16.10","5.70","124","325.0","362"
"201H1250","코스피200 C 201301 250.0","4.50","0.10","4.25","4.50","3.85","15.60","4.50","180","380.0","641"
"201H1252","코스피200 C 201301 252.5","3.50","0.05","3.45","3.55","2.98","15.40","3.50","430","707.0","844"
"201H1255","코스피200 C 201301 255.0","2.77","0.11","2.66","2.77","2.31","15.50","2.77","305","382.0","1227"
"201H1257","코스피200 C 201301 257.5","2.07","0.07","2.00","2.07","1.75","15.30","2.07","326","313.0","682"
"201H1260","코스피200 C 201301 260.0","1.57","0.06","1.44","1.58","1.29","15.30","1.57","413","300.0","1108"
"201H1262","코스피200 C 201301 262.5","1.15","0.01","1.04","1.16","0.96","15.10","1.15","370","201.0","661"
"201H1265","코스피200 C 201301 265.0","0.87","0.08","0.79","0.87","0.72","15.40","0.87","435","174.0","1021"
"201H1267","코스피200 C 201301 267.5","0.63","-0.02","0.62","0.63","0.53","15.30","0.63","607","176.0","2102"
"201H1270","코스피200 C 201301 270.0","0.48","0.00","0.46","0.48","0.39","15.60","0.48","484","104.0","2039"
"201H1272","코스피200 C 201301 272.5","0.35","0.00","0.33","0.35","0.29","15.60","0.35","528","82.0","1856"
"201H2232","코스피200 C 201302 232.5","16.70","0.45","16.70","16.70","16.70","17.50","16.70","1","8.0","2"
"201H2235","코스피200 C 201302 235.0","14.85","0.05","14.85","14.85","14.85","17.50","14.85","1","7.0","0"
"201H2237","코스피200 C 201302 237.5","13.10","-0.35","13.10","13.10","13.10","17.00","13.10","1","7.0","2"
"201H2240","코스피200 C 201302 240.0","11.45","0.25","11.45","11.45","11.45","16.80","11.45","1","6.0","2"
"201H2242","코스피200 C 201302 242.5","9.90","0.00","9.90","9.90","9.90","16.50","9.90","1","5.0","0"
"201H2245","코스피200 C 201302 245.0","8.50","0.00","8.50","8.50","8.50","16.40","8.50","1","4.0","0"
"201H2247","코스피200 C 201302 247.5","7.25","0.10","7.25","7.25","7.25","16.30","7.25","1","4.0","28"
"201H2250","코스피200 C 201302 250.0","6.05","0.15","6.05","6.05","6.05","15.90","6.05","1","3.0","18"
"201H2252","코스피200 C 201302 252.5","5.10","0.10","5.10","5.30","4.90","16.10","5.10","9","23.0","18"
"201H2255","코스피200 C 201302 255.0","4.05","-0.10","4.30","4.30","4.05","15.90","4.05","3","6.0","26"
"201H2257","코스피200 C 201302 257.5","3.65","0.10","3.50","3.65","3.50","15.40","3.65","11","20.0","24"
"201H2260","코스피200 C 201302 260.0","2.99","0.15","2.84","2.99","2.80","15.80","2.99","14","20.0","137"
"201H2262","코스피200 C 201302 262.5","2.41","0.06","2.35","2.44","2.34","15.60","2.41","19","23.0","49"
"201H2265","코스피200 C 201302 265.0","1.98","-0.02","2.01","2.01","1.77","15.60","1.98","101","97.0","284"
"201H3230","코스피200 C 201303 230.0","20.35","0.25","19.50","20.35","19.50","17.50","20.35","2","20.0","50"
"201H3235","코스피200 C 201303 235.0","16.20","0.05","16.20","16.20","16.20","17.50","16.20","1","8.0","29"
"201H3240","코스피200 C 201303 240.0","12.65","-0.35","13.45","13.45","12.65","17.30","12.65","9","59.0","76"
"201H3245","코스피200 C 201303 245.0","9.85","-0.15","9.85","9.85","9.85","16.80","9.85","2","10.0","63"
"201H3250","코스피200 C 201303 250.0","7.95","0.10","7.75","7.95","7.65","16.50","7.95","9","35.0","273"
"201H3255","코스피200 C 201303 255.0","5.95","0.25","6.00","6.00","5.45","16.50","5.95","24","68.0","229"
"201H3260","코스피200 C 201303 260.0","4.30","0.00","4.10","4.30","4.00","15.90","4.30","8","17.0","476"
"201H3265","코스피200 C 201303 265.0","2.87","-0.08","3.05","3.05","2.73","15.90","2.87","62","87.0","1125"
"201H3270","코스피200 C 201303 270.0","2.12","0.04","2.14","2.19","1.92","16.10","2.12","58","59.0","837"
"201H3275","코스피200 C 201303 275.0","1.45","-0.04","1.49","1.50","1.33","16.10","1.45","81","58.0","846"
"201H3280","코스피200 C 201303 280.0","1.01","-0.04","1.05","1.05","0.94","16.00","1.01","172","84.0","2425"
"301GC220","코스피200 P 201212 220.0","0.17","-0.06","0.21","0.25","0.16","22.60","0.17","41348","4277.0","47947"
