종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201PC330","코스피200 C 201912 330.0","0.03","-0.01","0.03","0.03","0.03","16.40","0.03","1","0.0","11643"
"201PC332","코스피200 C 201912 332.5",,,,,,"13.70","0.01","0","0.0","78"
"201PC335","코스피200 C 201912 335.0","0.03","0.02","0.03","0.03","0.03","17.20","0.03","1","0.0","860"
"201PC337","코스피200 C 201912 337.5",,,,,,"13.70","0.01","0","0.0","155"
"201PC340","코스피200 C 201912 340.0",,,,,,"13.70","0.01","0","0.0","4730"
"201PC342","코스피200 C 201912 342.5","0.02","0.00","0.02","0.02","0.02","17.60","0.02","12","0.0","137"
"201PC345","코스피200 C 201912 345.0","0.02","0.00","0.02","0.02","0.02","18.10","0.02","1","0.0","1315"
"201PC347","코스피200 C 201912 347.5",,,,,,"13.70","0.01","0","0.0","1"
"201PC350","코스피200 C 201912 350.0","0.02","0.00","0.02","0.02","0.02","18.80","0.02","2","0.0","15916"
"201PC352","코스피200 C 201912 352.5","0.02","0.00","0.02","0.02","0.02","19.20","0.02","1","0.0","44"
"201PC355","코스피200 C 201912 355.0","0.01","-0.01","0.01","0.01","0.01","18.40","0.01","2","0.0","425"
"201PC357","코스피200 C 201912 357.5","0.01","0.00","0.01","0.01","0.01","19.00","0.01","1","0.0","6"
"201PC360","코스피200 C 201912 360.0","0.01","0.00","0.01","0.01","0.01","19.30","0.01","1","0.0","14795"
"201PC362","코스피200 C 201912 362.5","0.01","0.00","0.01","0.01","0.01","19.60","0.01","2","0.0","7"
"201PC365","코스피200 C 201912 365.0","0.01","0.00","0.01","0.01","0.01","20.00","0.01","10","0.0","1035"
"201PC367","코스피200 C 201912 367.5",,,,,,"13.70","0.01","0","0.0","1"
"201PC370","코스피200 C 201912 370.0","0.01","0.00","0.01","0.01","0.01","20.70","0.01","1","0.0","14657"
"201PC372","코스피200 C 201912 372.5",,,,,,"13.70","0.01","0","0.0","2"
"201PC375","코스피200 C 201912 375.0",,,,,,"13.70","0.01","0","0.0","260"
"201PC377","코스피200 C 201912 377.5",,,,,,"13.70","0.01","0","0.0","0"
"201PC380","코스피200 C 201912 380.0",,,,,,"13.70","0.01","0","0.0","6643"
"201PC382","코스피200 C 201912 382.5","0.01","0.00","0.01","0.01","0.01","22.30","0.01","1","0.0","1"
"201PC385","코스피200 C 201912 385.0",,,,,,"13.70","0.01","0","0.0","701"
"201PC387","코스피200 C 201912 387.5","0.01","0.00","0.01","0.01","0.01","23.10","0.01","2","0.0","4"
"201PC390","코스피200 C 201912 390.0","0.01","0.00","0.01","0.01","0.01","23.10","0.01","3","0.0","2506"
"201PC392","코스피200 C 201912 392.5",,,,,,"13.70","0.01","0","0.0","2"
"201PC395","코스피200 C 201912 395.0",,,,,,"13.70","0.01","0","0.0","1104"
"201PC397","코스피200 C 201912 397.5","0.01","0.00","0.01","0.01","0.01","24.20","0.01","2","0.0","5"
"201PC400","코스피200 C 201912 400.0","0.01","0.00","0.01","0.01","0.01","24.40","0.01","12","0.0","17090"
"201Q1212","코스피200 C 202001 212.5",,,,,,"13.70","39.10","0","0.0","0"
"201Q1215","코스피200 C 202001 215.0",,,,,,"13.70","36.70","0","0.0","0"
"201Q1217","코스피200 C 202001 217.5",,,,,,"13.70","34.35","0","0.0","0"
"201Q1220","코스피200 C 202001 220.0",,,,,,"13.70","32.00","0","0.0","0"
"201Q1222","코스피200 C 202001 222.5",,,,,,"13.70","29.70","0","0.0","0"
"201Q1225","코스피200 C 202001 225.0",,,,,,"13.70","27.50","0","0.0","0"
"201Q1227","코스피200 C 202001 227.5",,,,,,"13.70","25.30","0","0.0","0"
"201Q1230","코스피200 C 202001 230.0",,,,,,"13.70","23.20","0","0.0","0"
"201Q1232","코스피200 C 202001 232.5",,,,,,"13.70","21.20","0","0.0","0"
"201Q1235","코스피200 C 202001 235.0",,,,,,"13.70","19.20","0","0.0","0"
"201Q1237","코스피200 C 202001 237.5",,,,,,"13.70","17.35","0","0.0","0"
"201Q1240","코스피200 C 202001 240.0",,,,,,"13.70","15.55","0","0.0","0"
"201Q1242","코스피200 C 202001 242.5",,,,,,"13.70","13.95","0","0.0","0"
"201Q1245","코스피200 C 202001 245.0",,,,,,"13.70","12.40","0","0.0","0"
"201Q1247","코스피200 C 202001 247.5",,,,,,"13.70","10.90","0","0.0","0"
"201Q1250","코스피200 C 202001 250.0",,,,,,"13.70","9.64","0","0.0","0"
"201Q1252","코스피200 C 202001 252.5",,,,,,"13.70","8.38","0","0.0","0"
"201Q1255","코스피200 C 202001 255.0",,,,,,"13.70","7.30","0","0.0","200"
"201Q1257","코스피200 C 202001 257.5",,,,,,"13.70","6.31","0","0.0","1"
"201Q1260","코스피200 C 202001 260.0",,,,,,"13.70","5.35","0","0.0","0"
"201Q1262","코스피200 C 202001 262.5",,,,,,"13.70","4.63","0","0.0","0"
"201Q1265","코스피200 C 202001 265.0",,,,,,"13.70","3.90","0","0.0","0"
"201Q1267","코스피200 C 202001 267.5",,,,,,"13.70","3.27","0","0.0","0"
"201Q1270","코스피200 C 202001 270.0",,,,,,"13.70","2.77","0","0.0","0"
"201Q1272","코스피200 C 202001 272.5",,,,,,"13.70","2.27","0","0.0","0"
"201Q1275","코스피200 C 202001 275.0",,,,,,"13.70","1.89","0","0.0","0"
"201Q1277","코스피200 C 202001 277.5",,,,,,"13.70","1.57","0","0.0","0"
"201Q1280","코스피200 C 202001 280.0",,,,,,"13.70","1.24","0","0.0","0"
"201Q1282","코스피200 C 202001 282.5",,,,,,"13.70","1.03","0","0.0","0"
"201Q1285","코스피200 C 202001 285.0",,,,,,"13.70","0.84","0","0.0","1"
"201Q1287","코스피200 C 202001 287.5",,,,,,"13.70","0.65","0","0.0","0"
"201Q1290","코스피200 C 202001 290.0",,,,,,"13.70","0.53","0","0.0","3"
"201Q1292","코스피200 C 202001 292.5",,,,,,"13.70","0.42","0","0.0","1"
"201Q1295","코스피200 C 202001 295.0",,,,,,"13.70","0.32","0","0.0","1"
"201Q1297","코스피200 C 202001 297.5",,,,,,"13.70","0.26","0","0.0","2"
"201Q1300","코스피200 C 202001 300.0",,,,,,"13.70","0.20","0","0.0","1"
"201Q1302","코스피200 C 202001 302.5",,,,,,"13.70","0.15","0","0.0","0"
"201Q1305","코스피200 C 202001 305.0",,,,,,"13.70","0.12","0","0.0","0"
"201Q1307","코스피200 C 202001 307.5",,,,,,"13.70","0.09","0","0.0","20"
"201Q1310","코스피200 C 202001 310.0",,,,,,"13.70","0.06","0","0.0","1"
"201Q1312","코스피200 C 202001 312.5",,,,,,"13.70","0.05","0","0.0","4"
"201Q1315","코스피200 C 202001 315.0","0.07","-0.01","0.07","0.07","0.07","14.40","0.07","4","0.0","320"
"201Q2212","코스피200 C 202002 212.5",,,,,,"13.70","39.55","0","0.0","0"
"201Q2215","코스피200 C 202002 215.0",,,,,,"13.70","37.20","0","0.0","0"
"201Q2217","코스피200 C 202002 217.5",,,,,,"13.70","34.90","0","0.0","0"
"201Q2220","코스피200 C 202002 220.0",,,,,,"13.70","32.60","0","0.0","0"
"201Q2222","코스피200 C 202002 222.5",,,,,,"13.70","30.40","0","0.0","0"
"201Q2225","코스피200 C 202002 225.0",,,,,,"13.70","28.20","0","0.0","0"
"201Q2227","코스피200 C 202002 227.5",,,,,,"13.70","26.05","0","0.0","0"
"201Q2230","코스피200 C 202002 230.0",,,,,,"13.70","24.05","0","0.0","0"
"201Q2232","코스피200 C 202002 232.5",,,,,,"13.70","22.05","0","0.0","0"
"201Q2235","코스피200 C 202002 235.0",,,,,,"13.70","20.20","0","0.0","0"
"201Q2237","코스피200 C 202002 237.5",,,,,,"13.70","18.40","0","0.0","0"
"201Q2240","코스피200 C 202002 240.0",,,,,,"13.70","16.60","0","0.0","0"
"201Q2242","코스피200 C 202002 242.5",,,,,,"13.70","15.05","0","0.0","0"
"201Q2245","코스피200 C 202002 245.0",,,,,,"13.70","13.50","0","0.0","0"
"201Q2247","코스피200 C 202002 247.5",,,,,,"13.70","12.05","0","0.0","0"
"201Q2250","코스피200 C 202002 250.0",,,,,,"13.70","10.80","0","0.0","0"
"201Q2252","코스피200 C 202002 252.5",,,,,,"13.70","9.52","0","0.0","0"
"201Q2255","코스피200 C 202002 255.0",,,,,,"13.70","8.41","0","0.0","0"
"201Q2257","코스피200 C 202002 257.5",,,,,,"13.70","7.42","0","0.0","0"
"201Q2260","코스피200 C 202002 260.0",,,,,,"13.70","6.43","0","0.0","0"
"201Q2262","코스피200 C 202002 262.5",,,,,,"13.70","5.61","0","0.0","0"
"201Q2265","코스피200 C 202002 265.0",,,,,,"13.70","4.88","0","0.0","0"
"201Q2267","코스피200 C 202002 267.5",,,,,,"13.70","4.16","0","0.0","0"
"201Q2270","코스피200 C 202002 270.0",,,,,,"13.70","3.59","0","0.0","0"
"201Q2272","코스피200 C 202002 272.5",,,,,,"13.70","3.08","0","0.0","0"
"201Q2275","코스피200 C 202002 275.0",,,,,,"13.70","2.58","0","0.0","0"
"201Q2277","코스피200 C 202002 277.5",,,,,,"13.70","2.19","0","0.0","0"
"201Q2280","코스피200 C 202002 280.0",,,,,,"13.70","1.86","0","0.0","0"
"201Q2282","코스피200 C 202002 282.5",,,,,,"13.70","1.53","0","0.0","0"
"201Q2285","코스피200 C 202002 285.0",,,,,,"13.70","1.28","0","0.0","0"
"201Q2287","코스피200 C 202002 287.5",,,,,,"13.70","1.08","0","0.0","0"
"201Q2290","코스피200 C 202002 290.0",,,,,,"13.70","0.88","0","0.0","0"
"201Q2292","코스피200 C 202002 292.5",,,,,,"13.70","0.71","0","0.0","0"
"201Q3190","코스피200 C 202003 190.0",,,,,,"13.70","61.75","0","0.0","0"
"201Q3195","코스피200 C 202003 195.0",,,,,,"13.70","56.85","0","0.0","0"
"201Q3200","코스피200 C 202003 200.0",,,,,,"13.70","51.95","0","0.0","0"
"201Q3205","코스피200 C 202003 205.0",,,,,,"13.70","47.10","0","0.0","0"
"201Q3210","코스피200 C 202003 210.0",,,,,,"13.70","42.30","0","0.0","0"
"201Q3215","코스피200 C 202003 215.0",,,,,,"13.70","37.65","0","0.0","0"
"201Q3220","코스피200 C 202003 220.0",,,,,,"13.70","33.10","0","0.0","0"
"201Q3225","코스피200 C 202003 225.0",,,,,,"13.70","28.75","0","0.0","0"
"201Q3230","코스피200 C 202003 230.0",,,,,,"13.70","24.70","0","0.0","0"
"201Q3235","코스피200 C 202003 235.0",,,,,,"13.70","20.95","0","0.0","0"
"201Q3240","코스피200 C 202003 240.0",,,,,,"13.70","17.40","0","0.0","0"
"201Q3245","코스피200 C 202003 245.0",,,,,,"13.70","14.35","0","0.0","0"
"201Q3250","코스피200 C 202003 250.0",,,,,,"13.70","11.65","0","0.0","200"
"201Q3255","코스피200 C 202003 255.0",,,,,,"13.70","9.23","0","0.0","200"
"201Q3260","코스피200 C 202003 260.0",,,,,,"13.70","7.25","0","0.0","600"
"201Q3265","코스피200 C 202003 265.0",,,,,,"13.70","5.62","0","0.0","600"
"201Q3270","코스피200 C 202003 270.0","3.99","0.07","3.94","4.05","3.88","13.20","3.99","7","7.0","4187"
"201Q3275","코스피200 C 202003 275.0","2.91","0.31","2.91","2.91","2.91","13.00","2.91","3","2.0","520"
"201Q3280","코스피200 C 202003 280.0","1.90","0.07","1.90","1.90","1.90","12.80","1.90","1","0.0","1408"
"201Q3285","코스피200 C 202003 285.0","1.40","0.13","1.40","1.40","1.40","12.80","1.40","1","0.0","140"
"201Q3290","코스피200 C 202003 290.0","0.92","0.05","0.91","0.93","0.91","12.70","0.92","7","2.0","943"
"201Q3295","코스피200 C 202003 295.0","0.67","0.06","0.67","0.67","0.67","12.80","0.67","1","0.0","688"
"201Q3300","코스피200 C 202003 300.0",,,,,,"13.70","0.59","0","0.0","2087"
"201Q3305","코스피200 C 202003 305.0",,,,,,"13.70","0.38","0","0.0","938"
"201Q3310","코스피200 C 202003 310.0",,,,,,"13.70","0.27","0","0.0","381"
"201Q3315","코스피200 C 202003 315.0",,,,,,"13.70","0.17","0","0.0","352"
"201Q3320","코스피200 C 202003 320.0",,,,,,"13.70","0.11","0","0.0","71"
"201Q3325","코스피200 C 202003 325.0",,,,,,"13.70","0.07","0","0.0","56"
"201Q3330","코스피200 C 202003 330.0",,,,,,"13.70","0.05","0","0.0","466"
"201Q3335","코스피200 C 202003 335.0",,,,,,"13.70","0.03","0","0.0","32"
"201Q3340","코스피200 C 202003 340.0",,,,,,"13.70","0.02","0","0.0","674"
"201Q3345","코스피200 C 202003 345.0","0.04","0.00","0.04","0.04","0.04","15.30","0.04","20","0.0","398"
"201Q3350","코스피200 C 202003 350.0",,,,,,"13.70","0.01","0","0.0","236"
"201Q6190","코스피200 C 202006 190.0",,,,,,"13.70","61.90","0","0.0","0"
"201Q6195","코스피200 C 202006 195.0",,,,,,"13.70","57.05","0","0.0","0"
"201Q6200","코스피200 C 202006 200.0",,,,,,"13.70","52.25","0","0.0","0"
"201Q6205","코스피200 C 202006 205.0",,,,,,"13.70","47.50","0","0.0","0"
"201Q6210","코스피200 C 202006 210.0",,,,,,"13.70","42.95","0","0.0","0"
"201Q6215","코스피200 C 202006 215.0",,,,,,"13.70","38.45","0","0.0","0"
"201Q6220","코스피200 C 202006 220.0",,,,,,"13.70","34.10","0","0.0","200"
"201Q6225","코스피200 C 202006 225.0",,,,,,"13.70","30.10","0","0.0","0"
"201Q6230","코스피200 C 202006 230.0",,,,,,"13.70","26.25","0","0.0","200"
"201Q6235","코스피200 C 202006 235.0",,,,,,"13.70","22.65","0","0.0","0"
"201Q6240","코스피200 C 202006 240.0",,,,,,"13.70","19.40","0","0.0","0"
"201Q6245","코스피200 C 202006 245.0",,,,,,"13.70","16.30","0","0.0","0"
"201Q6250","코스피200 C 202006 250.0",,,,,,"13.70","13.75","2400","7200.0","2900"
"201Q6255","코스피200 C 202006 255.0",,,,,,"13.70","11.35","0","0.0","0"
"201Q6260","코스피200 C 202006 260.0",,,,,,"13.70","9.35","0","0.0","3590"
"201Q6265","코스피200 C 202006 265.0",,,,,,"13.70","7.55","0","0.0","0"
"201Q6270","코스피200 C 202006 270.0","5.78","0.12","5.89","5.89","5.78","13.20","5.78","6","9.0","3214"
"201Q6275","코스피200 C 202006 275.0",,,,,,"13.70","4.82","0","0.0","2925"
"201Q6280","코스피200 C 202006 280.0",,,,,,"13.70","3.80","0","0.0","5070"
"201Q6285","코스피200 C 202006 285.0","2.62","0.28","2.62","2.62","2.62","12.90","2.62","1","1.0","709"
"201Q6290","코스피200 C 202006 290.0","1.91","0.13","1.91","1.91","1.91","12.80","1.91","1","0.0","2323"
"201Q6295","코스피200 C 202006 295.0","1.42","0.09","1.42","1.49","1.42","12.80","1.42","3","1.0","644"
"201Q6300","코스피200 C 202006 300.0","1.09","0.11","1.05","1.09","1.03","12.80","1.09","38","10.0","3911"
"201Q6305","코스피200 C 202006 305.0","0.79","0.06","0.79","0.79","0.79","12.80","0.79","1","0.0","124"
"201Q6310","코스피200 C 202006 310.0","0.59","0.02","0.61","0.61","0.59","12.90","0.59","2","0.0","4176"
"201Q6315","코스피200 C 202006 315.0","0.46","0.01","0.46","0.46","0.46","13.20","0.46","3","0.0","56"
"201Q6320","코스피200 C 202006 320.0","0.34","-0.01","0.34","0.34","0.34","13.40","0.34","1","0.0","1726"
"201Q6325","코스피200 C 202006 325.0",,,,,,"13.70","0.27","0","0.0","400"
"201Q6330","코스피200 C 202006 330.0","0.21","0.00","0.21","0.21","0.21","13.70","0.21","2","0.0","1521"
"201Q6335","코스피200 C 202006 335.0",,,,,,"13.70","0.14","0","0.0","117"
"201Q6340","코스피200 C 202006 340.0","0.13","-0.01","0.14","0.14","0.13","14.10","0.13","21","1.0","4352"
"201Q6345","코스피200 C 202006 345.0",,,,,,"13.70","0.07","0","0.0","30"
"201Q6350","코스피200 C 202006 350.0",,,,,,"13.70","0.04","0","0.0","1874"
"201Q6355","코스피200 C 202006 355.0",,,,,,"13.70","0.03","0","0.0","9"
"201Q6360","코스피200 C 202006 360.0","0.06","-0.01","0.06","0.06","0.06","15.10","0.06","1","0.0","699"
"201Q6365","코스피200 C 202006 365.0","0.05","0.00","0.05","0.05","0.05","15.30","0.05","8","0.0","78"
"201Q6370","코스피200 C 202006 370.0","0.04","0.00","0.04","0.04","0.04","15.30","0.04","64","1.0","2499"
"201QC190","코스피200 C 202012 190.0",,,,,,"13.70","62.20","0","0.0","0"
"201QC200","코스피200 C 202012 200.0",,,,,,"13.70","52.95","0","0.0","70"
"201QC210","코스피200 C 202012 210.0",,,,,,"13.70","44.20","0","0.0","1704"
"201QC220","코스피200 C 202012 220.0",,,,,,"13.70","36.10","0","0.0","33"
"201QC230","코스피200 C 202012 230.0",,,,,,"13.70","28.80","0","0.0","36"
"201QC240","코스피200 C 202012 240.0",,,,,,"13.70","22.45","0","0.0","13"
"201QC250","코스피200 C 202012 250.0",,,,,,"13.70","17.10","0","0.0","3218"
"201QC260","코스피200 C 202012 260.0",,,,,,"13.70","12.70","0","0.0","8839"
"201QC270","코스피200 C 202012 270.0",,,,,,"13.70","9.21","400","890.0","9628"
"201QC280","코스피200 C 202012 280.0","6.35","0.09","6.21","6.35","6.10","13.30","6.35","11","17.0","6772"
"201QC290","코스피200 C 202012 290.0","4.35","0.28","4.40","4.44","4.35","13.30","4.35","11","12.0","6166"
"201QC300","코스피200 C 202012 300.0","2.90","0.17","2.88","3.00","2.88","13.30","2.90","33","24.0","10529"
"201QC310","코스피200 C 202012 310.0","1.85","0.07","1.88","1.93","1.85","13.30","1.85","84","40.0","7350"
"201QC320","코스피200 C 202012 320.0","1.24","0.04","1.27","1.30","1.23","13.40","1.24","104","33.0","9500"
"201QC330","코스피200 C 202012 330.0","0.80","0.02","0.80","0.87","0.80","13.60","0.80","60","13.0","8457"
"201QC340","코스피200 C 202012 340.0","0.58","0.06","0.56","0.58","0.56","13.70","0.58","3","0.0","2120"
"201QC350","코스피200 C 202012 350.0","0.39","0.02","0.39","0.40","0.39","13.90","0.39","4","0.0","12019"
"201QC360","코스피200 C 202012 360.0","0.28","0.00","0.29","0.29","0.28","14.20","0.28","4","0.0","2163"
"201QC370","코스피200 C 202012 370.0","0.21","0.02","0.21","0.21","0.21","14.60","0.21","1","0.0","2710"
"201QC380","코스피200 C 202012 380.0","0.15","0.00","0.16","0.17","0.15","14.90","0.15","11","0.0","1390"
"201QC390","코스피200 C 202012 390.0","0.12","0.01","0.12","0.13","0.12","15.20","0.12","4","0.0","4456"
"201QC400","코스피200 C 202012 400.0","0.09","0.00","0.09","0.10","0.09","15.40","0.09","36","1.0","9049"
"201R6190","코스피200 C 202106 190.0",,,,,,"13.70","59.60","0","0.0","0"
"201R6200","코스피200 C 202106 200.0",,,,,,"13.70","50.90","0","0.0","0"
"201R6210","코스피200 C 202106 210.0",,,,,,"13.70","42.80","0","0.0","0"
"201R6220","코스피200 C 202106 220.0",,,,,,"13.70","35.40","0","0.0","0"
"201R6230","코스피200 C 202106 230.0",,,,,,"13.70","28.80","0","0.0","0"
"201R6240","코스피200 C 202106 240.0",,,,,,"13.70","22.95","0","0.0","0"
"201R6250","코스피200 C 202106 250.0",,,,,,"13.70","17.90","2400","10200.0","2400"
"201R6260","코스피200 C 202106 260.0",,,,,,"13.70","13.90","0","0.0","0"
"201R6270","코스피200 C 202106 270.0",,,,,,"13.70","10.60","0","0.0","2444"
"201R6280","코스피200 C 202106 280.0",,,,,,"13.70","7.88","0","0.0","0"
"201R6290","코스피200 C 202106 290.0",,,,,,"13.70","5.82","0","0.0","0"
"201R6300","코스피200 C 202106 300.0",,,,,,"13.70","4.27","0","0.0","0"
"201R6310","코스피200 C 202106 310.0",,,,,,"13.70","2.99","0","0.0","0"
"201R6320","코스피200 C 202106 320.0",,,,,,"13.70","2.17","0","0.0","8"
"201R6330","코스피200 C 202106 330.0",,,,,,"13.70","1.50","0","0.0","456"
"201R6340","코스피200 C 202106 340.0","1.15","0.06","1.15","1.15","1.15","13.80","1.15","1","0.0","327"
"201RC190","코스피200 C 202112 190.0",,,,,,"13.70","60.25","0","0.0","40"
"201RC200","코스피200 C 202112 200.0",,,,,,"13.70","51.95","0","0.0","260"
"201RC210","코스피200 C 202112 210.0",,,,,,"13.70","44.15","0","0.0","410"
