종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"20982390","코스피위클리 C 2109W5 390.0","19.40","-0.55","19.40","19.40","19.40","16.00","19.40","1","5.0","1"
"20982392","코스피위클리 C 2109W5 392.5","16.95","-0.55","16.95","16.95","16.95","16.00","16.95","1","4.0","1"
"20982395","코스피위클리 C 2109W5 395.0",,,,,,"15.33","14.30","0","0.0","0"
"20982397","코스피위클리 C 2109W5 397.5",,,,,,"14.66","11.85","0","0.0","0"
"20982400","코스피위클리 C 2109W5 400.0","9.50","-0.41","11.40","11.45","9.40","14.00","9.50","8","20.0","11"
"20982402","코스피위클리 C 2109W5 402.5","7.45","-0.88","7.80","7.80","7.40","12.50","7.45","34","65.0","31"
"20982405","코스피위클리 C 2109W5 405.0","5.48","-0.82","6.40","6.98","5.39","12.50","5.48","152","228.0","165"
"20982407","코스피위클리 C 2109W5 407.5","3.80","-0.45","4.75","5.86","3.55","12.30","3.80","1140","1279.0","548"
"20982410","코스피위클리 C 2109W5 410.0","2.29","-0.55","3.50","4.13","2.23","11.60","2.29","15520","10692.0","2117"
"20982412","코스피위클리 C 2109W5 412.5","1.28","-0.49","2.29","2.69","1.27","11.30","1.28","38197","17043.0","2278"
"20982415","코스피위클리 C 2109W5 415.0","0.61","-0.39","1.36","1.60","0.61","10.90","0.61","72549","17944.0","4514"
"20982417","코스피위클리 C 2109W5 417.5","0.27","-0.22","0.70","0.87","0.27","10.80","0.27","71027","8737.0","6051"
"20982420","코스피위클리 C 2109W5 420.0","0.10","-0.12","0.32","0.42","0.10","10.70","0.10","61159","3456.0","7388"
"20982422","코스피위클리 C 2109W5 422.5","0.04","-0.05","0.14","0.18","0.03","10.90","0.04","29865","772.0","5559"
"20982425","코스피위클리 C 2109W5 425.0","0.02","-0.02","0.05","0.07","0.01","11.60","0.02","13186","133.0","5103"
"20982427","코스피위클리 C 2109W5 427.5","0.01","-0.01","0.02","0.03","0.01","12.10","0.01","7270","27.0","4829"
"20982430","코스피위클리 C 2109W5 430.0","0.01","0.00","0.01","0.02","0.01","13.80","0.01","4991","13.0","5780"
"30982390","코스피위클리 P 2109W5 390.0","0.08","-0.10","0.07","0.11","0.03","17.40","0.08","26196","439.0","9008"
"30982392","코스피위클리 P 2109W5 392.5","0.13","-0.14","0.15","0.16","0.05","16.80","0.13","18626","491.0","5003"
"30982395","코스피위클리 P 2109W5 395.0","0.21","-0.20","0.25","0.26","0.09","16.30","0.21","25402","1048.0","4213"
"30982397","코스피위클리 P 2109W5 397.5","0.35","-0.27","0.38","0.43","0.15","15.60","0.35","33135","2465.0","3639"
"30982400","코스피위클리 P 2109W5 400.0","0.57","-0.36","0.61","0.70","0.27","15.00","0.57","56771","7268.0","3829"
"30982402","코스피위클리 P 2109W5 402.5","0.96","-0.40","0.88","1.11","0.47","14.80","0.96","52484","10796.0","2905"
"30982405","코스피위클리 P 2109W5 405.0","1.49","-0.46","1.40","1.71","0.81","14.20","1.49","53775","17611.0","3378"
"30982407","코스피위클리 P 2109W5 407.5","2.28","-0.49","2.04","2.56","1.33","13.80","2.28","26518","13047.0","1617"
"30982410","코스피위클리 P 2109W5 410.0","3.43","-0.41","2.95","3.74","2.07","13.60","3.43","18008","12877.0","1687"
"30982412","코스피위클리 P 2109W5 412.5","4.82","-0.33","4.14","5.27","3.12","13.30","4.82","2178","2226.0","618"
"30982415","코스피위클리 P 2109W5 415.0","6.56","0.18","5.92","6.94","4.70","12.00","6.56","109","165.0","69"
"30982417","코스피위클리 P 2109W5 417.5","8.41","-0.49","7.20","8.68","7.20","11.50","8.41","7","15.0","9"
"30982420","코스피위클리 P 2109W5 420.0","10.95","-2.05","10.05","11.50","9.10","14.00","10.95","40","103.0","11"
"30982422","코스피위클리 P 2109W5 422.5",,,,,,"14.00","13.25","0","0.0","1"
"30982425","코스피위클리 P 2109W5 425.0",,,,,,"14.00","15.70","0","0.0","1"
"30982427","코스피위클리 P 2109W5 427.5",,,,,,"14.00","18.20","0","0.0","1"
"30982430","코스피위클리 P 2109W5 430.0",,,,,,"14.00","20.70","0","0.0","1"
