종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"20984365","코스피위클리 C 2110W3 365.0",,,,,,"12.00","28.25","0","0.0","0"
"20984367","코스피위클리 C 2110W3 367.5",,,,,,"12.00","25.75","0","0.0","0"
"20984370","코스피위클리 C 2110W3 370.0",,,,,,"12.00","23.25","0","0.0","0"
"20984372","코스피위클리 C 2110W3 372.5",,,,,,"12.00","20.75","0","0.0","1"
"20984375","코스피위클리 C 2110W3 375.0",,,,,,"12.00","18.25","0","0.0","1"
"20984377","코스피위클리 C 2110W3 377.5",,,,,,"12.00","15.75","0","0.0","2"
"20984380","코스피위클리 C 2110W3 380.0","13.60","3.25","13.60","13.60","13.60","12.00","13.60","1","3.0","1"
"20984382","코스피위클리 C 2110W3 382.5","11.55","3.70","12.10","12.10","10.00","12.00","11.55","22","62.0","45"
"20984385","코스피위클리 C 2110W3 385.0","8.10","2.01","8.12","8.57","7.81","14.00","8.10","91","182.0","159"
"20984387","코스피위클리 C 2110W3 387.5","7.00","2.70","6.98","7.71","5.86","15.50","7.00","528","886.0","398"
"20984390","코스피위클리 C 2110W3 390.0","5.13","2.13","4.00","5.91","4.00","15.00","5.13","1889","2389.0","1014"
"20984392","코스피위클리 C 2110W3 392.5","3.76","1.84","2.65","4.16","2.65","15.50","3.76","8156","6670.0","1709"
"20984395","코스피위클리 C 2110W3 395.0","2.33","1.18","1.68","2.75","1.59","14.30","2.33","30479","15715.0","2993"
"20984397","코스피위클리 C 2110W3 397.5","1.30","0.66","1.00","1.68","0.90","13.40","1.30","52221","15613.0","2920"
"20984400","코스피위클리 C 2110W3 400.0","0.65","0.33","0.56","0.93","0.45","12.90","0.65","58809","9395.0","3937"
"20984402","코스피위클리 C 2110W3 402.5","0.29","0.13","0.30","0.46","0.21","12.60","0.29","42725","3195.0","4627"
"20984405","코스피위클리 C 2110W3 405.0","0.12","0.05","0.13","0.21","0.10","12.40","0.12","28268","1010.0","6033"
"20984407","코스피위클리 C 2110W3 407.5","0.05","0.03","0.07","0.09","0.04","12.60","0.05","14391","224.0","3712"
"20984410","코스피위클리 C 2110W3 410.0","0.02","0.01","0.04","0.05","0.02","12.70","0.02","10933","86.0","5339"
"30984365","코스피위클리 P 2110W3 365.0","0.02","-0.06","0.03","0.03","0.01","21.40","0.02","9435","61.0","7686"
"30984367","코스피위클리 P 2110W3 367.5","0.02","-0.09","0.04","0.05","0.02","19.70","0.02","6149","55.0","2795"
"30984370","코스피위클리 P 2110W3 370.0","0.03","-0.13","0.07","0.07","0.03","18.80","0.03","8551","110.0","4796"
"30984372","코스피위클리 P 2110W3 372.5","0.06","-0.19","0.10","0.11","0.05","18.60","0.06","6749","134.0","1662"
"30984375","코스피위클리 P 2110W3 375.0","0.07","-0.31","0.16","0.17","0.07","16.90","0.07","15844","477.0","2927"
"30984377","코스피위클리 P 2110W3 377.5","0.12","-0.47","0.26","0.27","0.12","16.30","0.12","19930","927.0","3244"
"30984380","코스피위클리 P 2110W3 380.0","0.21","-0.67","0.45","0.45","0.21","15.90","0.21","32184","2379.0","3290"
"30984382","코스피위클리 P 2110W3 382.5","0.32","-1.01","0.74","0.74","0.32","14.80","0.32","34250","4232.0","2927"
"30984385","코스피위클리 P 2110W3 385.0","0.54","-1.40","1.16","1.16","0.54","14.20","0.54","37274","7193.0","2912"
"30984387","코스피위클리 P 2110W3 387.5","0.85","-1.95","1.73","1.73","0.85","13.20","0.85","31252","9456.0","2040"
"30984390","코스피위클리 P 2110W3 390.0","1.39","-2.54","2.56","2.56","1.39","12.60","1.39","22817","10501.0","2632"
"30984392","코스피위클리 P 2110W3 392.5","2.12","-3.22","3.27","3.56","2.12","11.50","2.12","8947","6096.0","1747"
"30984395","코스피위클리 P 2110W3 395.0","3.21","-3.94","4.31","4.92","3.21","10.30","3.21","1070","1021.0","477"
"30984397","코스피위클리 P 2110W3 397.5","5.29","-3.91","6.98","6.98","5.06","12.30","5.29","333","447.0","272"
"30984400","코스피위클리 P 2110W3 400.0","7.05","-5.05","7.82","8.68","6.85","10.00","7.05","49","93.0","18"
"30984402","코스피위클리 P 2110W3 402.5","9.50","-5.00","8.94","10.00","8.94","14.00","9.50","5","12.0","4"
"30984405","코스피위클리 P 2110W3 405.0",,,,,,"11.00","11.75","0","0.0","1"
"30984407","코스피위클리 P 2110W3 407.5","14.30","-3.60","14.30","14.30","14.30","8.00","14.30","1","4.0","1"
"30984410","코스피위클리 P 2110W3 410.0","16.75","-3.60","16.75","16.75","16.75","8.00","16.75","1","4.0","1"
