종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201R8362","코스피200 C 202108 362.5","68.25","-1.95","67.95","68.25","67.95","3.00","68.25","2","34.0","307"
"201R8365","코스피200 C 202108 365.0",,,,,,"4.70","66.65","0","0.0","9"
"201R8367","코스피200 C 202108 367.5",,,,,,"6.41","64.15","0","0.0","0"
"201R8370","코스피200 C 202108 370.0",,,,,,"8.11","61.65","0","0.0","0"
"201R8372","코스피200 C 202108 372.5",,,,,,"9.82","59.15","0","0.0","203"
"201R8375","코스피200 C 202108 375.0",,,,,,"11.52","56.65","0","0.0","138"
"201R8377","코스피200 C 202108 377.5",,,,,,"13.23","54.15","0","0.0","20"
"201R8380","코스피200 C 202108 380.0",,,,,,"14.94","51.65","0","0.0","33"
"201R8382","코스피200 C 202108 382.5",,,,,,"16.64","49.15","0","0.0","0"
"201R8385","코스피200 C 202108 385.0",,,,,,"18.35","46.65","0","0.0","19"
"201R8387","코스피200 C 202108 387.5",,,,,,"20.05","44.15","0","0.0","0"
"201R8390","코스피200 C 202108 390.0",,,,,,"21.76","41.65","0","0.0","0"
"201R8392","코스피200 C 202108 392.5",,,,,,"23.47","39.15","0","0.0","0"
"201R8395","코스피200 C 202108 395.0",,,,,,"25.17","36.65","0","0.0","2"
"201R8397","코스피200 C 202108 397.5",,,,,,"26.88","34.15","0","0.0","2"
"201R8400","코스피200 C 202108 400.0",,,,,,"28.58","31.70","0","0.0","59"
"201R8402","코스피200 C 202108 402.5",,,,,,"30.29","29.20","0","0.0","2"
"201R8405","코스피200 C 202108 405.0","26.00","-2.30","26.50","26.50","26.00","32.00","26.00","2","13.0","120"
"201R8407","코스피200 C 202108 407.5","28.65","2.85","24.00","28.65","23.50","66.00","28.65","3","19.0","10"
"201R8410","코스피200 C 202108 410.0","22.60","-0.70","21.55","22.60","20.05","32.00","22.60","13","67.0","79"
"201R8412","코스피200 C 202108 412.5","18.50","-1.95","19.05","19.05","18.50","16.00","18.50","2","9.0","36"
"201R8415","코스피200 C 202108 415.0","17.15","-1.50","16.60","18.15","15.90","24.00","17.15","12","50.0","1657"
"201R8417","코스피200 C 202108 417.5","14.35","-1.00","14.15","15.00","13.25","20.00","14.35","19","67.0","215"
"201R8420","코스피200 C 202108 420.0","12.05","-1.50","11.75","13.00","10.35","20.00","12.05","144","416.0","1120"
"201R8422","코스피200 C 202108 422.5","9.49","-1.91","8.92","10.65","8.05","16.00","9.49","169","389.0","1335"
"201R8425","코스피200 C 202108 425.0","7.39","-1.57","7.30","8.51","5.88","16.00","7.39","1346","2368.0","7442"
"201R8427","코스피200 C 202108 427.5","5.24","-1.58","5.33","6.31","4.03","14.50","5.24","10613","13698.0","9303"
"201R8430","코스피200 C 202108 430.0","3.42","-1.49","3.59","4.35","2.49","13.80","3.42","47772","39911.0","18989"
"201R8432","코스피200 C 202108 432.5","1.97","-1.28","2.20","2.73","1.39","13.10","1.97","136036","68120.0","18846"
"201R8435","코스피200 C 202108 435.0","0.98","-1.02","1.25","1.53","0.69","12.40","0.98","256871","68333.0","29218"
"201R8437","코스피200 C 202108 437.5","0.43","-0.69","0.64","0.79","0.32","12.30","0.43","331867","44815.0","31884"
"201R8440","코스피200 C 202108 440.0","0.20","-0.38","0.31","0.38","0.15","12.70","0.20","330701","21282.0","42395"
"201R8442","코스피200 C 202108 442.5","0.10","-0.19","0.15","0.18","0.07","13.60","0.10","201334","5906.0","34803"
"201R8445","코스피200 C 202108 445.0","0.05","-0.10","0.08","0.10","0.03","14.30","0.05","125306","1823.0","57124"
"201R8447","코스피200 C 202108 447.5","0.03","-0.04","0.04","0.05","0.01","15.40","0.03","73618","548.0","38974"
"201R8450","코스피200 C 202108 450.0","0.02","-0.02","0.02","0.03","0.01","16.60","0.02","36707","177.0","36610"
"201R8452","코스피200 C 202108 452.5","0.01","-0.01","0.01","0.02","0.01","17.20","0.01","28940","73.0","28962"
"201R8455","코스피200 C 202108 455.0","0.01","0.00","0.01","0.01","0.01","18.90","0.01","3952","10.0","23129"
"201R8457","코스피200 C 202108 457.5","0.01","0.00","0.01","0.01","0.01","20.20","0.01","217","1.0","27118"
"201R8460","코스피200 C 202108 460.0","0.01","0.00","0.01","0.01","0.01","21.90","0.01","11","0.0","27503"
