종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201K4210","코스피200 C 201504 210.0","49.60","0.30","48.15","49.60","48.15","48.00","49.60","4","98.0","902"
"201K4212","코스피200 C 201504 212.5",,,,,,"11.00","46.85","0","0.0","285"
"201K4215","코스피200 C 201504 215.0","43.90","-0.40","43.90","43.90","43.90","3.00","43.90","1","22.0","57"
"201K4217","코스피200 C 201504 217.5",,,,,,"11.00","41.85","0","0.0","0"
"201K4220","코스피200 C 201504 220.0","39.05","-0.70","39.00","39.05","39.00","40.00","39.05","2","39.0","8"
"201K4222","코스피200 C 201504 222.5","36.50","-0.75","36.50","36.50","36.50","40.00","36.50","1","18.0","17"
"201K4225","코스피200 C 201504 225.0","33.50","-1.00","33.50","33.50","33.50","16.00","33.50","1","17.0","29"
"201K4227","코스피200 C 201504 227.5","31.60","-0.70","31.60","31.60","31.60","36.00","31.60","2","32.0","11"
"201K4230","코스피200 C 201504 230.0","28.75","-0.20","28.75","28.75","28.75","32.00","28.75","1","14.0","267"
"201K4232","코스피200 C 201504 232.5","26.50","-0.80","26.50","26.50","26.50","32.00","26.50","1","13.0","31"
"201K4235","코스피200 C 201504 235.0","24.00","-0.80","24.00","24.00","24.00","28.00","24.00","1","12.0","84"
"201K4237","코스피200 C 201504 237.5","21.45","-0.90","21.45","21.45","21.45","28.00","21.45","1","11.0","37"
"201K4240","코스피200 C 201504 240.0","19.15","-0.10","19.15","19.15","19.15","26.00","19.15","1","10.0","148"
"201K4242","코스피200 C 201504 242.5","16.65","0.00","16.65","16.65","16.65","24.00","16.65","1","8.0","148"
"201K4245","코스피200 C 201504 245.0","13.85","-0.55","14.05","14.05","13.85","18.00","13.85","2","14.0","1279"
"201K4247","코스피200 C 201504 247.5","12.10","-0.50","11.50","12.10","10.80","14.00","12.10","31","176.0","2376"
"201K4250","코스피200 C 201504 250.0","9.80","0.00","9.05","9.90","8.55","14.00","9.80","79","365.0","5282"
"201K4252","코스피200 C 201504 252.5","7.50","0.05","7.05","7.65","6.30","13.00","7.50","802","2835.0","9015"
"201K4255","코스피200 C 201504 255.0","5.45","0.05","5.05","5.50","4.30","12.00","5.45","3742","9403.0","15389"
"201K4257","코스피200 C 201504 257.5","3.60","0.05","3.30","3.65","2.74","11.00","3.60","14331","22361.0","18254"
"201K4260","코스피200 C 201504 260.0","2.15","-0.01","1.99","2.23","1.56","11.00","2.15","135170","129859.0","27502"
"201K4262","코스피200 C 201504 262.5","1.18","-0.05","1.07","1.23","0.81","10.00","1.18","165955","85602.0","31733"
"201K4265","코스피200 C 201504 265.0","0.60","0.00","0.54","0.63","0.40","10.00","0.60","159275","41223.0","41813"
"201K4267","코스피200 C 201504 267.5","0.31","0.00","0.25","0.33","0.20","11.00","0.31","116953","14963.0","46553"
"201K4270","코스피200 C 201504 270.0","0.16","0.01","0.12","0.17","0.10","11.00","0.16","98436","6546.0","49004"
"201K4272","코스피200 C 201504 272.5","0.09","0.01","0.06","0.09","0.05","12.00","0.09","75395","2711.0","41696"
"201K4275","코스피200 C 201504 275.0","0.05","0.00","0.04","0.06","0.03","13.00","0.05","49040","1160.0","38320"
"201K4277","코스피200 C 201504 277.5","0.02","-0.01","0.02","0.03","0.01","13.00","0.02","23110","298.0","21869"
"201K4280","코스피200 C 201504 280.0","0.02","0.01","0.01","0.02","0.01","14.00","0.02","2302","20.0","27743"
"201K4282","코스피200 C 201504 282.5","0.01","0.00","0.01","0.01","0.01","14.00","0.01","9190","46.0","20845"
"201K4285","코스피200 C 201504 285.0","0.01","0.00","0.01","0.01","0.01","16.00","0.01","62","0.0","14857"
"201K4287","코스피200 C 201504 287.5","0.01","0.00","0.01","0.01","0.01","18.00","0.01","3","0.0","3125"
"201K4290","코스피200 C 201504 290.0","0.01","0.00","0.01","0.01","0.01","19.00","0.01","2","0.0","11"
"201K5210","코스피200 C 201505 210.0","49.60","0.10","49.25","49.60","49.25","32.00","49.60","23","568.0","27"
"201K5212","코스피200 C 201505 212.5",,,,,,"11.00","47.20","0","0.0","0"
"201K5215","코스피200 C 201505 215.0",,,,,,"11.00","44.70","0","0.0","1"
"201K5217","코스피200 C 201505 217.5",,,,,,"11.00","42.20","0","0.0","0"
"201K5220","코스피200 C 201505 220.0","39.70","0.15","39.40","39.70","39.40","28.00","39.70","4","79.0","4"
"201K5222","코스피200 C 201505 222.5","37.20","0.15","37.20","37.20","37.20","28.00","37.20","2","37.0","5"
"201K5225","코스피200 C 201505 225.0","34.60","-0.55","34.40","34.60","34.40","24.00","34.60","3","52.0","4"
"201K5227","코스피200 C 201505 227.5","32.25","-0.45","32.25","32.25","32.25","24.00","32.25","2","32.0","4"
"201K5230","코스피200 C 201505 230.0","29.80","0.25","29.80","29.80","29.80","24.00","29.80","1","15.0","1"
"201K5232","코스피200 C 201505 232.5","27.15","0.05","27.15","27.15","27.15","20.00","27.15","1","14.0","1"
"201K5235","코스피200 C 201505 235.0","24.75","0.15","24.65","24.75","24.65","20.00","24.75","3","37.0","3"
"201K5237","코스피200 C 201505 237.5","22.20","0.05","22.35","22.35","22.20","18.00","22.20","5","56.0","5"
"201K5240","코스피200 C 201505 240.0","19.60","-0.10","19.55","19.60","19.55","16.00","19.60","2","20.0","306"
"201K5242","코스피200 C 201505 242.5","16.50","-0.80","16.50","16.50","16.50","12.00","16.50","1","8.0","3"
"201K5245","코스피200 C 201505 245.0","15.10","0.10","14.90","15.25","14.45","14.00","15.10","12","90.0","61"
"201K5247","코스피200 C 201505 247.5","12.85","-0.20","12.70","12.85","12.25","14.00","12.85","5","32.0","197"
"201K5250","코스피200 C 201505 250.0","10.75","-0.15","10.50","10.90","10.10","13.00","10.75","16","86.0","456"
"201K5252","코스피200 C 201505 252.5","8.90","-0.10","8.35","8.90","8.35","12.00","8.90","25","109.0","434"
"201K5255","코스피200 C 201505 255.0","7.25","0.10","6.85","7.30","6.30","11.00","7.25","47","163.0","1181"
"201K5257","코스피200 C 201505 257.5","5.60","0.00","5.20","5.65","4.75","11.00","5.60","234","614.0","616"
"201K5260","코스피200 C 201505 260.0","4.20","0.05","3.85","4.30","3.50","10.00","4.20","522","1026.0","1641"
"201K5262","코스피200 C 201505 262.5","3.05","-0.05","2.93","3.10","2.47","10.00","3.05","677","938.0","2416"
"201K5265","코스피200 C 201505 265.0","2.07","0.00","1.96","2.16","1.65","10.00","2.07","1883","1807.0","4843"
"201K5267","코스피200 C 201505 267.5","1.37","0.00","1.28","1.44","1.07","10.00","1.37","2664","1679.0","5563"
"201K5270","코스피200 C 201505 270.0","0.89","0.01","0.83","0.94","0.68","10.00","0.89","3586","1454.0","7067"
"201K5272","코스피200 C 201505 272.5","0.56","0.00","0.51","0.60","0.41","10.00","0.56","2192","558.0","5158"
"201K5275","코스피200 C 201505 275.0","0.33","0.02","0.32","0.36","0.25","10.00","0.33","2998","463.0","5985"
"201K5277","코스피200 C 201505 277.5","0.20","0.03","0.19","0.23","0.15","10.00","0.20","2312","217.0","3800"
"201K5280","코스피200 C 201505 280.0","0.15","0.02","0.12","0.15","0.10","11.00","0.15","2017","122.0","3117"
"201K5282","코스피200 C 201505 282.5","0.09","-0.01","0.08","0.09","0.08","11.00","0.09","515","21.0","1000"
"201K5285","코스피200 C 201505 285.0","0.05","-0.02","0.05","0.06","0.05","11.00","0.05","608","16.0","1752"
"201K5287","코스피200 C 201505 287.5","0.04","-0.01","0.04","0.04","0.03","11.00","0.04","76","2.0","721"
"201K5290","코스피200 C 201505 290.0","0.03","0.00","0.03","0.03","0.02","12.00","0.03","49","1.0","337"
"201K6210","코스피200 C 201506 210.0","49.30","-0.10","49.30","49.30","49.30","24.00","49.30","6","148.0","1176"
"201K6212","코스피200 C 201506 212.5",,,,,,"11.00","47.50","0","0.0","0"
"201K6215","코스피200 C 201506 215.0","44.40","-1.05","44.40","44.40","44.40","24.00","44.40","5","111.0","248"
"201K6217","코스피200 C 201506 217.5",,,,,,"11.00","42.55","0","0.0","1"
"201K6220","코스피200 C 201506 220.0",,,,,,"11.00","40.05","0","0.0","223"
"201K6222","코스피200 C 201506 222.5",,,,,,"11.00","37.55","0","0.0","0"
"201K6225","코스피200 C 201506 225.0",,,,,,"11.00","35.05","0","0.0","23"
"201K6227","코스피200 C 201506 227.5",,,,,,"11.00","32.60","0","0.0","0"
"201K6230","코스피200 C 201506 230.0",,,,,,"11.00","30.10","0","0.0","7"
"201K6232","코스피200 C 201506 232.5",,,,,,"11.00","27.65","0","0.0","0"
"201K6235","코스피200 C 201506 235.0","25.30","0.30","25.00","25.30","25.00","14.00","25.30","3","38.0","698"
"201K6237","코스피200 C 201506 237.5","23.05","0.45","23.05","23.05","23.05","17.00","23.05","1","12.0","2"
