종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201S2267","코스피200 C 202202 267.5",,,,,,"64.00","101.15","0","0.0","1"
"201S2270","코스피200 C 202202 270.0",,,,,,"64.00","98.65","0","0.0","0"
"201S2272","코스피200 C 202202 272.5",,,,,,"64.00","96.15","0","0.0","0"
"201S2275","코스피200 C 202202 275.0",,,,,,"64.00","93.65","0","0.0","0"
"201S2277","코스피200 C 202202 277.5",,,,,,"64.00","91.15","0","0.0","0"
"201S2280","코스피200 C 202202 280.0",,,,,,"64.00","88.65","0","0.0","12"
"201S2282","코스피200 C 202202 282.5",,,,,,"64.00","86.15","0","0.0","0"
"201S2285","코스피200 C 202202 285.0",,,,,,"64.00","83.65","0","0.0","0"
"201S2287","코스피200 C 202202 287.5",,,,,,"64.00","81.15","0","0.0","0"
"201S2290","코스피200 C 202202 290.0",,,,,,"64.00","78.65","0","0.0","0"
"201S2292","코스피200 C 202202 292.5","75.50","5.55","74.30","75.50","74.30","64.00","75.50","2","37.0","286"
"201S2295","코스피200 C 202202 295.0",,,,,,"64.00","73.65","0","0.0","4"
"201S2297","코스피200 C 202202 297.5",,,,,,"64.00","71.15","0","0.0","0"
"201S2300","코스피200 C 202202 300.0",,,,,,"64.00","68.65","0","0.0","0"
"201S2302","코스피200 C 202202 302.5",,,,,,"64.00","66.15","0","0.0","0"
"201S2305","코스피200 C 202202 305.0",,,,,,"64.00","63.65","0","0.0","0"
"201S2307","코스피200 C 202202 307.5",,,,,,"64.00","61.15","0","0.0","0"
"201S2310","코스피200 C 202202 310.0",,,,,,"64.00","58.65","0","0.0","0"
"201S2312","코스피200 C 202202 312.5",,,,,,"64.00","56.15","0","0.0","0"
"201S2315","코스피200 C 202202 315.0",,,,,,"64.00","53.65","0","0.0","1"
"201S2317","코스피200 C 202202 317.5",,,,,,"64.00","51.15","0","0.0","1"
"201S2320","코스피200 C 202202 320.0",,,,,,"64.00","48.65","0","0.0","1"
"201S2322","코스피200 C 202202 322.5",,,,,,"64.00","46.15","0","0.0","1"
"201S2325","코스피200 C 202202 325.0",,,,,,"64.00","43.65","0","0.0","38"
"201S2327","코스피200 C 202202 327.5",,,,,,"64.00","41.15","0","0.0","17"
"201S2330","코스피200 C 202202 330.0","36.80","2.00","36.80","36.80","36.80","64.00","36.80","1","9.0","46"
"201S2332","코스피200 C 202202 332.5",,,,,,"64.00","36.15","0","0.0","1"
"201S2335","코스피200 C 202202 335.0","31.85","2.15","31.85","31.85","31.85","64.00","31.85","1","8.0","45"
"201S2337","코스피200 C 202202 337.5","30.80","2.90","29.35","30.80","29.35","64.00","30.80","9","69.0","98"
"201S2340","코스피200 C 202202 340.0","26.80","5.55","27.70","27.80","26.80","3.00","26.80","18","124.0","393"
"201S2342","코스피200 C 202202 342.5","29.45","6.60","24.50","29.45","24.50","116.00","29.45","2","13.0","92"
"201S2345","코스피200 C 202202 345.0","23.50","5.30","21.65","23.55","21.25","48.00","23.50","126","701.0","827"
"201S2347","코스피200 C 202202 347.5","21.00","5.10","19.00","21.00","18.55","40.00","21.00","34","164.0","799"
"201S2350","코스피200 C 202202 350.0","18.95","5.50","17.60","18.95","16.60","44.00","18.95","141","631.0","2418"
"201S2352","코스피200 C 202202 352.5","15.60","4.55","14.25","15.90","14.05","3.00","15.60","64","242.0","2227"
"201S2355","코스피200 C 202202 355.0","13.80","4.95","11.50","13.80","11.00","28.00","13.80","412","1297.0","3292"
"201S2357","코스피200 C 202202 357.5","10.95","4.35","9.61","10.95","8.85","24.00","10.95","595","1472.0","4498"
"201S2360","코스피200 C 202202 360.0","9.11","4.48","7.25","9.11","6.22","28.00","9.11","4628","8847.0","8540"
"201S2362","코스피200 C 202202 362.5","6.74","3.77","5.07","6.74","4.13","24.00","6.74","16760","21985.0","11741"
"201S2365","코스피200 C 202202 365.0","4.52","2.81","3.21","4.52","2.42","20.50","4.52","79240","64903.0","15864"
"201S2367","코스피200 C 202202 367.5","2.55","1.71","1.88","2.55","1.18","17.50","2.55","247847","109286.0","21660"
"201S2370","코스피200 C 202202 370.0","1.14","0.76","0.85","1.14","0.47","15.80","1.14","425922","78100.0","32753"
"201S2372","코스피200 C 202202 372.5","0.44","0.29","0.37","0.44","0.14","15.60","0.44","420309","25498.0","31053"
"201S2375","코스피200 C 202202 375.0","0.11","0.05","0.12","0.14","0.04","15.00","0.11","221911","4019.0","52538"
"201S2377","코스피200 C 202202 377.5","0.04","0.01","0.04","0.06","0.01","16.20","0.04","103796","731.0","30590"
"201S2380","코스피200 C 202202 380.0","0.01","-0.01","0.02","0.03","0.01","16.80","0.01","51941","160.0","35083"
"201S2382","코스피200 C 202202 382.5","0.01","0.00","0.01","0.01","0.01","19.80","0.01","3358","8.0","34527"
"201S2385","코스피200 C 202202 385.0","0.01","0.00","0.01","0.01","0.01","22.90","0.01","658","2.0","38067"
"201S2387","코스피200 C 202202 387.5","0.01","0.00","0.01","0.01","0.01","26.70","0.01","159","0.0","28022"
"201S2390","코스피200 C 202202 390.0","0.01","0.00","0.01","0.01","0.01","29.60","0.01","55","0.0","25595"
"201S2392","코스피200 C 202202 392.5","0.01","0.00","0.01","0.01","0.01","32.60","0.01","36","0.0","23410"
"201S2395","코스피200 C 202202 395.0","0.01","0.00","0.01","0.01","0.01","35.40","0.01","54","0.0","30005"
"201S2397","코스피200 C 202202 397.5","0.01","0.00","0.01","0.01","0.01","38.60","0.01","22","0.0","21288"
"201S2400","코스피200 C 202202 400.0","0.01","0.00","0.01","0.01","0.01","41.40","0.01","91","0.0","28353"
"201S2402","코스피200 C 202202 402.5","0.01","0.00","0.01","0.01","0.01","43.90","0.01","68","0.0","26021"
"201S2405","코스피200 C 202202 405.0","0.01","0.00","0.01","0.01","0.01","46.10","0.01","20","0.0","27435"
"201S2407","코스피200 C 202202 407.5",,,,,,"48.83","0.01","0","0.0","24195"
"201S2410","코스피200 C 202202 410.0",,,,,,"51.56","0.01","0","0.0","23091"
"201S2412","코스피200 C 202202 412.5","0.01","0.00","0.01","0.01","0.01","54.30","0.01","1","0.0","17090"
"201S2415","코스피200 C 202202 415.0",,,,,,"57.50","0.01","0","0.0","16986"
"201S2417","코스피200 C 202202 417.5","0.01","0.00","0.01","0.01","0.01","60.70","0.01","1","0.0","11209"
"201S2420","코스피200 C 202202 420.0","0.01","0.00","0.01","0.01","0.01","62.60","0.01","3","0.0","12409"
"201S2422","코스피200 C 202202 422.5","0.01","0.00","0.01","0.01","0.01","64.70","0.01","63","0.0","8447"
"201S2425","코스피200 C 202202 425.0","0.01","0.00","0.01","0.01","0.01","67.50","0.01","19","0.0","10572"
"201S2427","코스피200 C 202202 427.5","0.01","0.00","0.01","0.01","0.01","69.70","0.01","20","0.0","9645"
"201S2430","코스피200 C 202202 430.0","0.01","0.00","0.01","0.01","0.01","72.20","0.01","20","0.0","8293"
"201S2432","코스피200 C 202202 432.5","0.01","0.00","0.01","0.01","0.01","74.90","0.01","10","0.0","9790"
"201S2435","코스피200 C 202202 435.0","0.01","0.00","0.01","0.01","0.01","77.50","0.01","11","0.0","8081"
"201S2437","코스피200 C 202202 437.5","0.01","0.00","0.01","0.01","0.01","79.80","0.01","10","0.0","4575"
"201S2440","코스피200 C 202202 440.0","0.01","0.00","0.01","0.01","0.01","82.20","0.01","11","0.0","5895"
"201S2442","코스피200 C 202202 442.5",,,,,,"84.80","0.01","0","0.0","3175"
"201S2445","코스피200 C 202202 445.0","0.01","0.00","0.01","0.01","0.01","87.40","0.01","1","0.0","1101"
"201S2447","코스피200 C 202202 447.5",,,,,,"89.50","0.01","0","0.0","752"
"201S2450","코스피200 C 202202 450.0","0.01","0.00","0.01","0.01","0.01","91.60","0.01","10","0.0","1390"
"201S2452","코스피200 C 202202 452.5",,,,,,"91.60","0.01","0","0.0","1501"
"201S2455","코스피200 C 202202 455.0",,,,,,"91.60","0.01","0","0.0","1388"
"201S2457","코스피200 C 202202 457.5",,,,,,"91.60","0.01","0","0.0","2181"
"201S2460","코스피200 C 202202 460.0",,,,,,"91.60","0.01","0","0.0","670"
"201S2462","코스피200 C 202202 462.5",,,,,,"91.60","0.01","0","0.0","913"
"201S2465","코스피200 C 202202 465.0",,,,,,"91.60","0.01","0","0.0","737"
"201S2467","코스피200 C 202202 467.5",,,,,,"91.60","0.01","0","0.0","655"
"201S2470","코스피200 C 202202 470.0",,,,,,"91.60","0.01","0","0.0","839"
"201S2472","코스피200 C 202202 472.5",,,,,,"91.60","0.01","0","0.0","425"
"201S2475","코스피200 C 202202 475.0",,,,,,"91.60","0.01","0","0.0","433"
"201S2477","코스피200 C 202202 477.5",,,,,,"91.60","0.01","0","0.0","474"
"201S2480","코스피200 C 202202 480.0",,,,,,"91.60","0.01","0","0.0","1029"
"201S3255","코스피200 C 202203 255.0","113.20","7.20","112.90","113.20","112.70","32.00","113.20","8","226.0","1057"
"201S3257","코스피200 C 202203 257.5",,,,,,"32.00","111.45","0","0.0","0"
"201S3260","코스피200 C 202203 260.0","107.20","4.65","107.20","107.20","107.20","32.00","107.20","4","107.0","82"
"201S3262","코스피200 C 202203 262.5",,,,,,"30.18","106.45","0","0.0","0"
"201S3265","코스피200 C 202203 265.0",,,,,,"28.37","103.95","0","0.0","0"
"201S3267","코스피200 C 202203 267.5",,,,,,"26.56","101.45","0","0.0","0"
"201S3270","코스피200 C 202203 270.0",,,,,,"24.75","98.95","0","0.0","0"
"201S3272","코스피200 C 202203 272.5",,,,,,"22.93","96.45","0","0.0","0"
"201S3275","코스피200 C 202203 275.0",,,,,,"21.12","94.00","0","0.0","0"
"201S3277","코스피200 C 202203 277.5",,,,,,"19.31","91.50","0","0.0","0"
"201S3280","코스피200 C 202203 280.0",,,,,,"17.50","89.00","0","0.0","2"
"201S3282","코스피200 C 202203 282.5",,,,,,"15.68","86.50","0","0.0","0"
"201S3285","코스피200 C 202203 285.0",,,,,,"13.87","84.00","0","0.0","0"
"201S3287","코스피200 C 202203 287.5",,,,,,"12.06","81.50","0","0.0","0"
"201S3290","코스피200 C 202203 290.0",,,,,,"10.25","79.00","0","0.0","0"
"201S3292","코스피200 C 202203 292.5",,,,,,"8.43","76.50","0","0.0","0"
"201S3295","코스피200 C 202203 295.0",,,,,,"6.62","74.00","0","0.0","4"
"201S3297","코스피200 C 202203 297.5",,,,,,"4.81","71.50","0","0.0","0"
"201S3300","코스피200 C 202203 300.0","67.10","3.25","67.10","67.10","67.10","3.00","67.10","1","17.0","5"
"201S3302","코스피200 C 202203 302.5",,,,,,"3.00","66.50","0","0.0","0"
"201S3305","코스피200 C 202203 305.0","63.20","6.55","62.00","63.50","61.40","3.00","63.20","28","437.0","101"
"201S3307","코스피200 C 202203 307.5",,,,,,"4.41","61.50","0","0.0","0"
"201S3310","코스피200 C 202203 310.0",,,,,,"5.83","59.00","0","0.0","1"
"201S3312","코스피200 C 202203 312.5",,,,,,"7.25","56.50","0","0.0","0"
"201S3315","코스피200 C 202203 315.0",,,,,,"8.66","54.05","0","0.0","0"
"201S3317","코스피200 C 202203 317.5",,,,,,"10.08","51.55","0","0.0","0"
"201S3320","코스피200 C 202203 320.0",,,,,,"11.50","49.05","0","0.0","100"
"201S3322","코스피200 C 202203 322.5",,,,,,"12.91","46.55","0","0.0","0"
"201S3325","코스피200 C 202203 325.0",,,,,,"14.33","44.05","0","0.0","0"
"201S3327","코스피200 C 202203 327.5",,,,,,"15.75","41.55","0","0.0","0"
"201S3330","코스피200 C 202203 330.0",,,,,,"17.16","39.10","0","0.0","4"
"201S3332","코스피200 C 202203 332.5",,,,,,"18.58","36.70","0","0.0","0"
"201S3335","코스피200 C 202203 335.0","32.50","4.60","32.75","32.75","32.50","20.00","32.50","2","16.0","39"
"201S3337","코스피200 C 202203 337.5",,,,,,"19.83","32.00","0","0.0","19"
"201S3340","코스피200 C 202203 340.0",,,,,,"19.66","29.65","0","0.0","55"
"201S3342","코스피200 C 202203 342.5",,,,,,"19.50","27.35","0","0.0","11"
"201S3345","코스피200 C 202203 345.0",,,,,,"19.33","25.05","0","0.0","8"
"201S3347","코스피200 C 202203 347.5",,,,,,"19.16","22.85","0","0.0","30"
"201S3350","코스피200 C 202203 350.0","20.25","3.75","20.10","20.50","19.05","19.00","20.25","8","40.0","1217"
"201S3352","코스피200 C 202203 352.5",,,,,,"19.00","18.70","0","0.0","110"
"201S3355","코스피200 C 202203 355.0","16.50","3.50","15.40","16.50","15.00","19.00","16.50","92","361.0","782"
"201S3357","코스피200 C 202203 357.5","14.30","2.50","14.00","14.60","13.00","18.00","14.30","30","105.0","524"
"201S3360","코스피200 C 202203 360.0","13.00","3.12","12.00","13.00","11.75","18.30","13.00","56","172.0","4069"
"201S3362","코스피200 C 202203 362.5","11.45","3.01","9.96","11.45","9.62","18.50","11.45","128","329.0","1381"
"201S3365","코스피200 C 202203 365.0","9.75","2.63","8.80","9.75","8.09","18.00","9.75","515","1163.0","3234"
"201S3367","코스피200 C 202203 367.5","8.34","2.49","7.15","8.34","6.93","17.80","8.34","627","1202.0","2476"
"201S3370","코스피200 C 202203 370.0","6.98","2.15","6.15","6.98","5.57","17.50","6.98","2338","3637.0","8049"
"201S3372","코스피200 C 202203 372.5","5.74","1.83","4.87","5.74","4.52","17.30","5.74","1328","1730.0","2626"
"201S3375","코스피200 C 202203 375.0","4.67","1.57","4.00","4.67","3.61","17.00","4.67","3480","3611.0","6503"
"201S3377","코스피200 C 202203 377.5","3.73","1.31","3.25","3.73","2.82","16.80","3.73","2544","2071.0","4281"
"201S3380","코스피200 C 202203 380.0","2.91","1.04","2.46","2.91","2.18","16.40","2.91","4506","2856.0","9308"
"201S3382","코스피200 C 202203 382.5","2.27","0.84","1.91","2.27","1.67","16.40","2.27","4273","2090.0","4220"
"201S3385","코스피200 C 202203 385.0","1.72","0.65","1.43","1.72","1.23","16.10","1.72","6969","2526.0","7221"
"201S3387","코스피200 C 202203 387.5","1.30","0.51","1.07","1.30","0.91","16.10","1.30","5803","1542.0","5547"
"201S3390","코스피200 C 202203 390.0","0.94","0.36","0.78","0.94","0.67","15.90","0.94","9228","1789.0","11066"
"201S3392","코스피200 C 202203 392.5","0.66","0.23","0.56","0.66","0.48","15.60","0.66","5407","747.0","4580"
