종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201R7362","코스피200 C 202107 362.5","74.10","-2.90","74.55","74.55","73.55","64.00","74.10","9","167.0","249"
"201R7365","코스피200 C 202107 365.0",,,,,,"59.93","72.00","0","0.0","0"
"201R7367","코스피200 C 202107 367.5",,,,,,"55.86","69.50","0","0.0","0"
"201R7370","코스피200 C 202107 370.0",,,,,,"51.80","67.00","0","0.0","16"
"201R7372","코스피200 C 202107 372.5",,,,,,"47.73","64.50","0","0.0","0"
"201R7375","코스피200 C 202107 375.0",,,,,,"43.66","62.00","0","0.0","205"
"201R7377","코스피200 C 202107 377.5",,,,,,"39.60","59.50","0","0.0","2"
"201R7380","코스피200 C 202107 380.0",,,,,,"35.53","57.00","0","0.0","10"
"201R7382","코스피200 C 202107 382.5",,,,,,"31.46","54.50","0","0.0","0"
"201R7385","코스피200 C 202107 385.0",,,,,,"27.40","52.00","0","0.0","1"
"201R7387","코스피200 C 202107 387.5",,,,,,"23.33","49.50","0","0.0","1"
"201R7390","코스피200 C 202107 390.0",,,,,,"19.26","47.00","0","0.0","3"
"201R7392","코스피200 C 202107 392.5",,,,,,"15.20","44.50","0","0.0","0"
"201R7395","코스피200 C 202107 395.0",,,,,,"11.13","42.00","0","0.0","0"
"201R7397","코스피200 C 202107 397.5",,,,,,"7.06","39.50","0","0.0","0"
"201R7400","코스피200 C 202107 400.0","36.10","-3.40","36.10","36.10","36.10","3.00","36.10","3","28.0","38"
"201R7402","코스피200 C 202107 402.5",,,,,,"17.50","34.50","0","0.0","2"
"201R7405","코스피200 C 202107 405.0","32.00","-2.50","32.00","32.00","32.00","32.00","32.00","1","8.0","31"
"201R7407","코스피200 C 202107 407.5","28.70","-3.30","28.70","28.70","28.70","3.00","28.70","1","7.0","4"
"201R7410","코스피200 C 202107 410.0","26.00","-3.50","26.30","26.30","26.00","3.00","26.00","2","13.0","36"
"201R7412","코스피200 C 202107 412.5",,,,,,"3.00","24.50","0","0.0","79"
"201R7415","코스피200 C 202107 415.0","21.75","-2.30","21.60","22.20","21.30","3.00","21.75","56","304.0","214"
"201R7417","코스피200 C 202107 417.5","19.25","-2.00","18.70","19.25","18.70","3.00","19.25","8","38.0","147"
"201R7420","코스피200 C 202107 420.0","16.55","-2.75","17.50","17.50","16.10","3.00","16.55","21","87.0","1454"
"201R7422","코스피200 C 202107 422.5","14.05","-2.85","14.45","14.60","13.65","3.00","14.05","27","95.0","240"
"201R7425","코스피200 C 202107 425.0","11.35","-3.05","11.90","12.10","11.00","3.00","11.35","37","107.0","913"
"201R7427","코스피200 C 202107 427.5","9.26","-2.64","11.60","11.60","8.40","3.00","9.26","240","550.0","1141"
"201R7430","코스피200 C 202107 430.0","6.78","-2.64","8.00","8.00","5.90","3.00","6.78","1135","1857.0","4278"
"201R7432","코스피200 C 202107 432.5","4.44","-2.45","5.50","5.50","3.67","3.00","4.44","14888","16002.0","7322"
"201R7435","코스피200 C 202107 435.0","2.38","-2.26","3.38","3.62","1.84","8.80","2.38","94711","55152.0","16434"
"201R7437","코스피200 C 202107 437.5","0.86","-1.86","1.66","1.85","0.67","8.50","0.86","243963","58455.0","24602"
"201R7440","코스피200 C 202107 440.0","0.18","-1.14","0.67","0.76","0.15","8.30","0.18","302282","22923.0","42124"
"201R7442","코스피200 C 202107 442.5","0.03","-0.50","0.22","0.24","0.03","8.80","0.03","175233","3937.0","39455"
"201R7445","코스피200 C 202107 445.0","0.02","-0.16","0.07","0.08","0.01","11.40","0.02","107612","1010.0","39859"
"201R7447","코스피200 C 202107 447.5","0.01","-0.05","0.03","0.03","0.01","13.30","0.01","65971","250.0","32143"
"201R7450","코스피200 C 202107 450.0","0.01","0.00","0.01","0.02","0.01","15.90","0.01","13604","35.0","43497"
"201R7452","코스피200 C 202107 452.5","0.01","0.00","0.01","0.01","0.01","18.60","0.01","1415","4.0","24799"
"201R7455","코스피200 C 202107 455.0","0.01","0.00","0.01","0.01","0.01","22.10","0.01","58","0.0","22705"
"201R7457","코스피200 C 202107 457.5","0.01","0.00","0.01","0.01","0.01","23.90","0.01","20","0.0","16547"
"201R7460","코스피200 C 202107 460.0","0.01","0.00","0.01","0.01","0.01","26.70","0.01","22","0.0","22543"
"201R7462","코스피200 C 202107 462.5","0.01","0.00","0.01","0.01","0.01","29.30","0.01","65","0.0","10149"
"201R7465","코스피200 C 202107 465.0","0.01","0.00","0.01","0.01","0.01","32.30","0.01","12","0.0","11530"
