종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201G7220","코스피200 C 201207 220.0","23.55","-8.15","26.60","26.65","23.55","3.00","23.55","28","354.0","978"
"201G7222","코스피200 C 201207 222.5","21.50","-7.55","22.15","22.15","21.50","3.00","21.50","3","33.0","189"
"201G7225","코스피200 C 201207 225.0","18.85","-8.00","22.20","22.20","18.85","3.00","18.85","137","1340.0","434"
"201G7227","코스피200 C 201207 227.5","16.55","-6.75","18.00","18.90","16.55","3.00","16.55","191","1674.0","127"
"201G7230","코스피200 C 201207 230.0","14.35","-7.50","18.15","18.25","14.35","12.00","14.35","97","791.0","403"
"201G7232","코스피200 C 201207 232.5","12.60","-6.80","15.95","16.10","12.60","20.00","12.60","42","304.0","114"
"201G7235","코스피200 C 201207 235.0","10.45","-6.60","13.50","13.90","10.40","19.00","10.45","152","929.0","597"
"201G7237","코스피200 C 201207 237.5","8.30","-6.50","11.40","11.70","8.30","17.50","8.30","245","1165.0","699"
"201G7240","코스피200 C 201207 240.0","6.55","-5.85","9.05","10.00","6.55","17.50","6.55","2305","9060.0","1390"
"201G7242","코스피200 C 201207 242.5","5.15","-5.15","7.15","8.20","5.15","18.10","5.15","4699","14618.0","2441"
"201G7245","코스피200 C 201207 245.0","3.75","-4.60","6.00","6.40","3.75","17.60","3.75","16639","39604.0","5753"
"201G7247","코스피200 C 201207 247.5","2.71","-3.84","4.55","4.90","2.65","17.50","2.71","22631","39613.0","5323"
"201G7250","코스피200 C 201207 250.0","1.80","-3.15","3.20","3.55","1.78","17.00","1.80","130403","156468.0","15485"
"201G7252","코스피200 C 201207 252.5","1.16","-2.49","2.35","2.43","1.12","16.80","1.16","144624","118450.0","13457"
"201G7255","코스피200 C 201207 255.0","0.72","-1.78","1.30","1.58","0.68","16.60","0.72","194234","100555.0","20321"
"201G7257","코스피200 C 201207 257.5","0.39","-0.90","0.87","0.97","0.39","16.20","0.39","150592","46837.0","20050"
"201G7260","코스피200 C 201207 260.0","0.22","-0.77","0.50","0.56","0.22","16.20","0.22","195294","34015.0","34261"
"201G7262","코스피200 C 201207 262.5","0.12","-0.43","0.29","0.31","0.12","16.30","0.12","155131","15926.0","29928"
"201G7265","코스피200 C 201207 265.0","0.09","-0.21","0.14","0.17","0.08","17.10","0.09","69054","4160.0","31176"
"201G7267","코스피200 C 201207 267.5","0.06","-0.11","0.08","0.09","0.06","17.80","0.06","27401","963.0","26454"
"201G7270","코스피200 C 201207 270.0","0.04","-0.05","0.04","0.06","0.04","18.20","0.04","27890","661.0","29614"
"201G7272","코스피200 C 201207 272.5","0.04","-0.02","0.03","0.04","0.02","19.70","0.04","34199","519.0","18003"
"201G7275","코스피200 C 201207 275.0","0.03","-0.01","0.02","0.03","0.02","20.50","0.03","9538","124.0","16336"
"201G7277","코스피200 C 201207 277.5","0.02","-0.01","0.02","0.03","0.01","20.80","0.02","15327","149.0","17339"
