종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201DC160","코스피200 C 200912 160.0","53.85","4.20","51.75","53.85","50.95","112.00","53.85","20","105.0","2726"
"201DC162","코스피200 C 200912 162.5","49.35","2.50","49.30","50.35","49.30","3.00","49.35","3","15.0","395"
"201DC165","코스피200 C 200912 165.0","46.85","2.50","46.75","47.85","46.75","3.00","46.85","3","14.0","132"
"201DC167","코스피200 C 200912 167.5","45.35","2.40","44.30","45.35","44.30","64.00","45.35","2","9.0","62"
"201DC170","코스피200 C 200912 170.0","42.90","2.40","41.75","42.90","41.20","64.00","42.90","4","17.0","96"
"201DC172","코스피200 C 200912 172.5","40.40","2.45","39.30","40.40","39.30","64.00","40.40","2","8.0","81"
"201DC175","코스피200 C 200912 175.0","37.90","2.80","36.75","37.90","36.75","64.00","37.90","4","15.0","483"
"201DC177","코스피200 C 200912 177.5","35.40","2.40","34.30","35.40","33.85","64.00","35.40","3","10.0","79"
"201DC180","코스피200 C 200912 180.0","32.90","2.45","31.75","32.90","31.20","32.00","32.90","52","169.0","786"
"201DC182","코스피200 C 200912 182.5","30.40","2.40","29.30","30.40","29.30","32.00","30.40","2","6.0","185"
"201DC185","코스피200 C 200912 185.0","28.55","3.05","26.80","28.55","26.00","56.00","28.55","76","204.0","1380"
"201DC187","코스피200 C 200912 187.5","25.40","2.40","24.15","25.40","24.15","32.00","25.40","7","17.0","185"
"201DC190","코스피200 C 200912 190.0","23.35","3.20","21.80","23.90","21.25","32.00","23.35","141","309.0","3070"
"201DC192","코스피200 C 200912 192.5","20.85","3.05","19.15","20.85","18.50","32.00","20.85","38","74.0","3409"
"201DC195","코스피200 C 200912 195.0","18.90","3.55","16.15","18.90","15.80","44.00","18.90","175","299.0","9888"
"201DC197","코스피200 C 200912 197.5","16.05","2.95","13.60","16.05","13.50","32.00","16.05","778","1120.0","8257"
"201DC200","코스피200 C 200912 200.0","14.00","3.30","11.05","14.45","11.00","36.00","14.00","2694","3326.0","33380"
"201DC202","코스피200 C 200912 202.5","11.45","3.35","8.20","11.45","8.20","30.00","11.45","3518","3404.0","28615"
"201DC205","코스피200 C 200912 205.0","9.15","3.00","6.90","9.20","6.35","28.00","9.15","16619","12209.0","47707"
"201DC207","코스피200 C 200912 207.5","6.75","2.55","4.80","6.75","4.35","24.00","6.75","65724","35970.0","80316"
"201DC210","코스피200 C 200912 210.0","4.65","2.15","2.90","4.65","2.63","21.00","4.65","216183","69549.0","114217"
"201DC212","코스피200 C 200912 212.5","2.72","1.38","1.58","2.80","1.41","18.00","2.72","1106199","212564.0","104047"
"201DC215","코스피200 C 200912 215.0","1.38","0.78","0.70","1.43","0.65","16.50","1.38","1998402","189147.0","217009"
"201DC217","코스피200 C 200912 217.5","0.65","0.38","0.33","0.65","0.25","16.50","0.65","1873894","77671.0","190610"
"201DC220","코스피200 C 200912 220.0","0.24","0.12","0.12","0.26","0.09","16.20","0.24","1054145","16610.0","237974"
"201DC222","코스피200 C 200912 222.5","0.09","0.04","0.05","0.11","0.03","16.40","0.09","835244","5420.0","165699"
"201DC225","코스피200 C 200912 225.0","0.04","0.01","0.03","0.05","0.01","17.40","0.04","573285","1687.0","181641"
"201DC227","코스피200 C 200912 227.5","0.03","0.01","0.02","0.03","0.01","19.70","0.03","206874","325.0","189653"
"201DC230","코스피200 C 200912 230.0","0.02","0.01","0.01","0.02","0.01","21.40","0.02","135466","140.0","181311"
"201DC232","코스피200 C 200912 232.5","0.01","0.00","0.01","0.01","0.01","22.30","0.01","131589","132.0","172899"
"201DC235","코스피200 C 200912 235.0","0.01","0.00","0.01","0.01","0.01","24.80","0.01","1588","2.0","140900"
"201DC237","코스피200 C 200912 237.5","0.01","0.00","0.01","0.01","0.01","27.30","0.01","748","1.0","77859"
"201DC240","코스피200 C 200912 240.0","0.01","0.00","0.01","0.01","0.01","29.70","0.01","1133","1.0","140001"
"201E1185","코스피200 C 201001 185.0","26.40","2.80","25.35","26.40","24.70","16.00","26.40","77","203.0","355"
"201E1187","코스피200 C 201001 187.5","24.45","3.00","23.75","24.45","23.75","16.00","24.45","2","5.0","744"
"201E1190","코스피200 C 201001 190.0","20.85","1.90","20.30","20.85","20.05","18.00","20.85","19","39.0","470"
"201E1192","코스피200 C 201001 192.5","18.45","1.55","18.00","18.50","18.00","19.00","18.45","3","5.0","95"
"201E1195","코스피200 C 201001 195.0","17.70","2.80","16.00","17.75","15.50","20.00","17.70","299","495.0","845"
"201E1197","코스피200 C 201001 197.5","15.40","2.65","14.35","15.60","13.45","19.00","15.40","26","37.0","798"
"201E1200","코스피200 C 201001 200.0","13.00","2.20","11.90","13.50","11.50","17.00","13.00","483","600.0","1578"
"201E1202","코스피200 C 201001 202.5","11.75","2.55","9.90","11.75","9.55","20.50","11.75","509","536.0","3110"
"201E1205","코스피200 C 201001 205.0","9.85","2.45","7.90","9.85","7.90","20.00","9.85","1300","1146.0","8422"
"201E1207","코스피200 C 201001 207.5","8.00","2.05","6.45","8.00","6.30","19.00","8.00","937","640.0","5265"
"201E1210","코스피200 C 201001 210.0","6.60","1.80","5.05","6.60","4.95","19.30","6.60","4235","2314.0","10954"
"201E1212","코스피200 C 201001 212.5","5.20","1.50","3.90","5.20","3.85","18.80","5.20","4742","2037.0","15081"
"201E1215","코스피200 C 201001 215.0","4.00","1.21","3.00","4.00","2.86","18.40","4.00","8391","2702.0","17789"
"201E1217","코스피200 C 201001 217.5","2.98","0.99","2.09","2.98","2.09","18.00","2.98","10671","2566.0","10432"
"201E1220","코스피200 C 201001 220.0","2.10","0.72","1.58","2.14","1.48","17.40","2.10","19590","3428.0","23404"
"201E1222","코스피200 C 201001 222.5","1.55","0.60","1.01","1.55","1.01","17.40","1.55","19482","2342.0","20521"
"201E1225","코스피200 C 201001 225.0","1.08","0.42","0.71","1.08","0.68","17.40","1.08","20126","1699.0","20167"
"201E1227","코스피200 C 201001 227.5","0.77","0.34","0.45","0.77","0.45","17.50","0.77","11556","674.0","15528"
"201E1230","코스피200 C 201001 230.0","0.50","0.21","0.31","0.50","0.30","17.20","0.50","11268","426.0","26734"
"201E1232","코스피200 C 201001 232.5","0.35","0.15","0.20","0.35","0.20","17.60","0.35","18184","483.0","28780"
"201E2185","코스피200 C 201002 185.0",,,,,,"17.10","27.65","0","0.0","4"
"201E2187","코스피200 C 201002 187.5",,,,,,"17.10","25.45","0","0.0","0"
"201E2190","코스피200 C 201002 190.0",,,,,,"17.10","23.25","0","0.0","1"
"201E2192","코스피200 C 201002 192.5",,,,,,"17.10","21.15","0","0.0","3"
"201E2195","코스피200 C 201002 195.0","18.70","2.35","18.00","18.70","18.00","21.00","18.70","21","38.0","216"
"201E2197","코스피200 C 201002 197.5","16.70","1.80","16.70","16.70","16.70","21.50","16.70","1","2.0","7"
"201E2200","코스피200 C 201002 200.0","13.50","0.20","14.15","14.30","13.50","20.50","13.50","6","8.0","40"
"201E2202","코스피200 C 201002 202.5","13.20","1.60","11.80","13.25","11.80","20.50","13.20","8","10.0","49"
"201E2205","코스피200 C 201002 205.0","11.25","1.75","10.60","11.25","10.30","20.30","11.25","8","9.0","216"
"201E2207","코스피200 C 201002 207.5","9.75","1.50","8.90","9.85","8.90","20.00","9.75","19","18.0","228"
"201E2210","코스피200 C 201002 210.0","8.85","1.90","7.70","8.85","7.25","20.50","8.85","376","297.0","985"
"201E2212","코스피200 C 201002 212.5","7.10","1.40","6.35","7.20","6.35","19.50","7.10","13","9.0","342"
"201E2215","코스피200 C 201002 215.0","6.05","1.25","5.30","6.05","5.00","19.50","6.05","9","5.0","834"
"201E2217","코스피200 C 201002 217.5","5.10","1.20","4.25","5.10","4.25","19.50","5.10","10","5.0","113"
"201E2220","코스피200 C 201002 220.0","4.05","0.95","3.50","4.05","3.30","19.00","4.05","149","57.0","1203"
"201E2222","코스피200 C 201002 222.5","3.30","0.82","2.89","3.30","2.60","18.90","3.30","1121","313.0","1975"
"201E2225","코스피200 C 201002 225.0","2.56","0.56","2.20","2.56","2.07","18.60","2.56","104","23.0","676"
"201E2227","코스피200 C 201002 227.5","1.78","0.27","1.70","1.78","1.64","18.80","1.78","66","12.0","139"
