종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201G1215","코스피200 C 201201 215.0","27.30","1.30","26.70","27.30","25.45","64.00",,"183","486.0","0"
"201G1217","코스피200 C 201201 217.5","25.30","1.80","22.35","25.30","22.35","96.00",,"4","10.0","0"
"201G1220","코스피200 C 201201 220.0","22.95","1.20","21.80","22.95","19.35","96.00",,"61","132.0","0"
"201G1222","코스피200 C 201201 222.5","19.70","1.40","19.15","19.70","17.40","3.00",,"18","34.0","0"
"201G1225","코스피200 C 201201 225.0","17.90","1.85","17.00","17.90","14.85","80.00",,"386","632.0","0"
"201G1227","코스피200 C 201201 227.5","14.65","1.10","13.55","14.65","12.25","3.00",,"187","260.0","0"
"201G1230","코스피200 C 201201 230.0","12.90","1.75","11.50","13.00","9.80","56.00",,"2694","3102.0","0"
"201G1232","코스피200 C 201201 232.5","10.45","1.80","9.30","10.45","7.30","60.00",,"5434","4869.0","0"
"201G1235","코스피200 C 201201 235.0","7.95","1.25","6.90","8.05","4.85","44.00",,"22718","14543.0","0"
"201G1237","코스피200 C 201201 237.5","5.40","0.80","4.75","5.50","2.64","28.00",,"137786","53981.0","0"
"201G1240","코스피200 C 201201 240.0","2.96","0.38","2.75","3.00","1.03","20.00",,"2179751","429201.0","0"
"201G1242","코스피200 C 201201 242.5","0.71","-0.59","1.35","1.42","0.27","11.00",,"5192258","319099.0","0"
"201G1245","코스피200 C 201201 245.0","0.11","-0.44","0.44","0.48","0.05","14.70",,"3595425","47253.0","0"
"201G1247","코스피200 C 201201 247.5","0.02","-0.17","0.05","0.10","0.01","18.40",,"1582833","4681.0","0"
"201G1250","코스피200 C 201201 250.0","0.01","-0.04","0.01","0.01","0.01","24.10",,"195375","223.0","0"
"201G1252","코스피200 C 201201 252.5","0.01","0.00","0.01","0.01","0.01","31.20",,"19856","20.0","0"
"201G1255","코스피200 C 201201 255.0","0.01","0.00","0.01","0.01","0.01","37.80",,"3549","4.0","0"
"201G1257","코스피200 C 201201 257.5","0.01","0.00","0.01","0.01","0.01","44.70",,"835","1.0","0"
"201G1260","코스피200 C 201201 260.0","0.01","0.00","0.01","0.01","0.01","50.60",,"523","1.0","0"
"201G1262","코스피200 C 201201 262.5","0.01","0.00","0.01","0.01","0.01","58.60",,"2529","3.0","0"
"201G1265","코스피200 C 201201 265.0","0.01","0.00","0.01","0.01","0.01","64.60",,"5","0.0","0"
"201G1267","코스피200 C 201201 267.5","0.01","0.00","0.01","0.01","0.01","70.70",,"252","0.0","0"
"201G2215","코스피200 C 201202 215.0","28.70","1.40","27.80","29.25","25.80","3.00","28.70","1999","5525.0","4514"
"201G2217","코스피200 C 201202 217.5","26.30","1.60","25.00","26.50","24.10","3.00","26.30","37","93.0","61"
"201G2220","코스피200 C 201202 220.0","23.85","1.35","23.00","24.40","21.70","3.00","23.85","1826","4236.0","3567"
"201G2222","코스피200 C 201202 222.5","21.70","1.35","21.40","22.00","19.50","25.00","21.70","419","864.0","747"
"201G2225","코스피200 C 201202 225.0","19.60","1.35","18.70","19.70","17.25","20.00","19.60","73","135.0","866"
"201G2227","코스피200 C 201202 227.5","17.25","0.80","15.00","17.30","15.00","20.00","17.25","19","30.0","208"
"201G2230","코스피200 C 201202 230.0","15.40","1.10","14.65","15.60","13.25","22.00","15.40","666","963.0","902"
"201G2232","코스피200 C 201202 232.5","13.45","0.95","12.30","13.50","11.25","22.00","13.45","118","149.0","457"
"201G2235","코스피200 C 201202 235.0","11.25","0.60","11.15","11.70","9.50","20.50","11.25","2595","2773.0","2496"
"201G2237","코스피200 C 201202 237.5","9.70","0.50","9.20","9.85","7.90","21.50","9.70","2842","2550.0","2884"
"201G2240","코스피200 C 201202 240.0","7.95","0.50","7.60","8.20","6.45","20.80","7.95","5944","4381.0","9482"
"201G2242","코스피200 C 201202 242.5","6.50","0.50","6.25","6.70","5.15","20.50","6.50","11885","7189.0","8124"
"201G2245","코스피200 C 201202 245.0","5.10","0.05","4.95","5.30","4.05","20.10","5.10","16193","7809.0","16122"
"201G2247","코스피200 C 201202 247.5","3.95","0.00","3.95","4.15","3.10","19.80","3.95","10708","3977.0","7794"
"201G2250","코스피200 C 201202 250.0","3.00","-0.10","3.10","3.25","2.36","19.60","3.00","41871","11810.0","17560"
"201G2252","코스피200 C 201202 252.5","2.26","-0.08","2.40","2.46","1.75","19.50","2.26","36800","7770.0","10313"
"201G2255","코스피200 C 201202 255.0","1.57","-0.18","1.55","1.80","1.27","18.90","1.57","64518","9838.0","26739"
"201G2257","코스피200 C 201202 257.5","1.09","-0.14","1.23","1.28","0.91","18.80","1.09","62450","6786.0","22342"
"201G2260","코스피200 C 201202 260.0","0.82","-0.08","0.90","0.90","0.65","19.20","0.82","69087","5282.0","35625"
"201G2262","코스피200 C 201202 262.5","0.52","-0.11","0.60","0.63","0.46","18.70","0.52","53037","2799.0","23051"
"201G2265","코스피200 C 201202 265.0","0.34","-0.12","0.44","0.44","0.32","18.80","0.34","55257","2004.0","21825"
"201G2267","코스피200 C 201202 267.5","0.24","-0.06","0.28","0.30","0.21","18.90","0.24","110209","2729.0","68796"
"201G3200","코스피200 C 201203 200.0","42.35","-0.05","41.65","42.35","41.65","32.00","42.35","2","8.0","1788"
"201G3202","코스피200 C 201203 202.5",,,,,,"20.10","42.10","0","0.0","2"
"201G3205","코스피200 C 201203 205.0",,,,,,"20.10","39.65","0","0.0","8"
"201G3207","코스피200 C 201203 207.5",,,,,,"20.10","37.20","0","0.0","0"
"201G3210","코스피200 C 201203 210.0","35.10","1.80","33.50","35.10","32.80","28.00","35.10","6","20.0","6"
"201G3212","코스피200 C 201203 212.5","32.45","1.35","30.60","32.45","30.60","28.00","32.45","4","12.0","4"
"201G3215","코스피200 C 201203 215.0","28.25","-0.70","28.90","28.95","28.25","27.00","28.25","6","17.0","3091"
"201G3217","코스피200 C 201203 217.5",,,,,,"20.10","27.70","0","0.0","1"
"201G3220","코스피200 C 201203 220.0",,,,,,"20.10","25.35","0","0.0","346"
"201G3222","코스피200 C 201203 222.5",,,,,,"20.10","23.20","0","0.0","2"
"201G3225","코스피200 C 201203 225.0","20.00","-0.85","21.10","21.10","19.65","27.00","20.00","11","22.0","517"
"201G3227","코스피200 C 201203 227.5",,,,,,"20.10","18.95","0","0.0","3"
"201G3230","코스피200 C 201203 230.0","16.80","-0.40","17.10","17.10","16.80","24.50","16.80","3","5.0","456"
"201G3232","코스피200 C 201203 232.5","15.85","0.50","14.50","15.85","14.50","24.50","15.85","2","3.0","84"
"201G3235","코스피200 C 201203 235.0","13.95","0.20","13.70","14.20","13.45","24.00","13.95","28","39.0","1256"
"201G3237","코스피200 C 201203 237.5","11.85","-0.15","11.85","11.85","11.85","23.80","11.85","1","1.0","117"
"201G3240","코스피200 C 201203 240.0","11.00","0.65","10.20","11.00","9.50","23.00","11.00","100","101.0","2903"
"201G3242","코스피200 C 201203 242.5","9.50","0.45","9.10","9.60","8.20","22.50","9.50","136","123.0","598"
"201G3245","코스피200 C 201203 245.0","8.20","0.65","8.00","8.20","7.00","21.50","8.20","68","52.0","3085"
"201G3247","코스피200 C 201203 247.5","6.90","0.45","6.70","6.95","6.00","21.10","6.90","42","28.0","217"
"201G3250","코스피200 C 201203 250.0","5.80","0.30","5.75","5.85","4.80","20.90","5.80","597","312.0","4801"
"201G3252","코스피200 C 201203 252.5","4.80","0.30","4.40","4.90","4.00","20.80","4.80","1294","585.0","1516"
"201G3255","코스피200 C 201203 255.0","4.05","0.25","3.80","4.05","3.25","20.60","4.05","713","260.0","3637"
"201G3257","코스피200 C 201203 257.5","3.10","0.05","3.15","3.25","2.65","20.00","3.10","279","83.0","794"
"201G3260","코스피200 C 201203 260.0","2.48","0.00","2.55","2.61","2.12","19.70","2.48","948","231.0","3356"
"201G3262","코스피200 C 201203 262.5","1.98","-0.08","2.10","2.12","1.70","19.80","1.98","108","21.0","1351"
"201G3265","코스피200 C 201203 265.0","1.58","-0.03","1.65","1.70","1.35","19.60","1.58","3610","553.0","19548"
"201G6215","코스피200 C 201206 215.0","34.40","0.45","34.35","34.40","34.35","26.00","34.40","30","103.0","72"
"201G6220","코스피200 C 201206 220.0",,,,,,"20.10","29.60","0","0.0","10"
"201G6225","코스피200 C 201206 225.0",,,,,,"20.10","25.85","0","0.0","39"
"201G6230","코스피200 C 201206 230.0",,,,,,"20.10","22.25","0","0.0","66"
"201G6235","코스피200 C 201206 235.0","20.20","-2.30","20.20","20.20","20.20","24.00","20.20","1","2.0","56"
"201G6240","코스피200 C 201206 240.0","17.60","0.55","17.20","17.60","16.95","23.30","17.60","3","5.0","1176"
"201G6245","코스피200 C 201206 245.0","14.65","0.55","14.35","14.65","13.50","21.80","14.65","54","76.0","2240"
"201G6250","코스피200 C 201206 250.0","12.10","0.55","11.50","12.25","11.00","21.80","12.10","151","170.0","2818"
"201G6255","코스피200 C 201206 255.0","9.65","0.20","9.10","9.65","9.10","21.60","9.65","9","8.0","607"
"201G6260","코스피200 C 201206 260.0","7.75","0.10","7.45","7.75","7.20","20.80","7.75","46","34.0","325"
"201G6265","코스피200 C 201206 265.0","6.15","0.20","5.95","6.30","5.65","20.10","6.15","986","584.0","6778"
"301G1215","코스피200 P 201201 215.0","0.01","0.00","0.01","0.01","0.01","86.60",,"323","0.0","0"
"301G1217","코스피200 P 201201 217.5","0.01","0.00","0.01","0.01","0.01","77.80",,"167","0.0","0"
"301G1220","코스피200 P 201201 220.0","0.01","0.00","0.01","0.01","0.01","71.10",,"303","0.0","0"
"301G1222","코스피200 P 201201 222.5","0.01","0.00","0.01","0.01","0.01","61.70",,"324","0.0","0"
"301G1225","코스피200 P 201201 225.0","0.01","0.00","0.01","0.01","0.01","56.30",,"2496","2.0","0"
"301G1227","코스피200 P 201201 227.5","0.01","-0.01","0.01","0.01","0.01","48.90",,"3571","4.0","0"
"301G1230","코스피200 P 201201 230.0","0.01","-0.05","0.01","0.01","0.01","42.10",,"35279","43.0","0"
"301G1232","코스피200 P 201201 232.5","0.01","-0.10","0.02","0.03","0.01","33.90",,"522647","977.0","0"
"301G1235","코스피200 P 201201 235.0","0.01","-0.24","0.05","0.11","0.01","26.40",,"1330167","5455.0","0"
"301G1237","코스피200 P 201201 237.5","0.01","-0.54","0.22","0.40","0.01","18.80",,"2521482","38723.0","0"
"301G1240","코스피200 P 201201 240.0","0.04","-1.23","0.61","1.29","0.04","13.90",,"3829376","192616.0","0"
"301G1242","코스피200 P 201201 242.5","0.34","-2.08","1.90","3.05","0.17","9.20",,"2478224","377258.0","0"
"301G1245","코스피200 P 201201 245.0","2.17","-1.93","3.50","5.30","2.06","3.00",,"231587","75292.0","0"
"301G1247","코스피200 P 201201 247.5","4.55","-1.65","5.50","7.70","4.55","3.00",,"31102","18264.0","0"
"301G1250","코스피200 P 201201 250.0","7.15","-1.40","8.20","10.20","7.05","3.00",,"11438","9580.0","0"
"301G1252","코스피200 P 201201 252.5","9.60","-1.85","10.85","12.65","9.55","3.00",,"3085","3333.0","0"
