종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201LA207","코스피200 C 201610 207.5","47.20","-0.95","47.20","47.20","47.20","64.00",,"1","24.0","0"
"201LA210","코스피200 C 201610 210.0",,,,,,"12.00",,"0","0.0","0"
"201LA212","코스피200 C 201610 212.5",,,,,,"12.00",,"0","0.0","0"
"201LA215","코스피200 C 201610 215.0","40.10","-0.85","39.55","40.10","39.50","64.00",,"7","139.0","0"
"201LA217","코스피200 C 201610 217.5","37.05","-1.65","37.05","37.05","37.05","64.00",,"1","19.0","0"
"201LA220","코스피200 C 201610 220.0","35.00","-1.20","35.00","35.00","35.00","64.00",,"2","35.0","0"
"201LA222","코스피200 C 201610 222.5","32.05","-1.30","32.05","32.05","32.05","64.00",,"1","16.0","0"
"201LA225","코스피200 C 201610 225.0","29.55","-1.15","29.55","29.55","29.55","64.00",,"1","15.0","0"
"201LA227","코스피200 C 201610 227.5","27.30","-0.85","27.00","27.30","27.00","64.00",,"2","27.0","0"
"201LA230","코스피200 C 201610 230.0","23.75","-1.65","25.40","25.40","23.75","3.00",,"30","372.0","0"
"201LA232","코스피200 C 201610 232.5","22.50","-1.20","22.50","22.50","22.50","3.00",,"2","23.0","0"
"201LA235","코스피200 C 201610 235.0","19.55","-2.05","19.55","19.55","19.55","3.00",,"1","10.0","0"
"201LA237","코스피200 C 201610 237.5","17.20","-1.85","17.20","17.20","17.20","3.00",,"1","9.0","0"
"201LA240","코스피200 C 201610 240.0","13.80","-1.70","16.00","16.00","13.80","3.00",,"79","600.0","0"
"201LA242","코스피200 C 201610 242.5","12.10","-0.70","13.50","13.55","12.05","3.00",,"13","82.0","0"
"201LA245","코스피200 C 201610 245.0","9.25","-2.45","10.30","10.30","9.25","16.00",,"4","19.0","0"
"201LA247","코스피200 C 201610 247.5","6.88","-1.92","8.80","8.80","6.28","3.00",,"42","143.0","0"
"201LA250","코스피200 C 201610 250.0","4.57","-1.61","5.85","6.27","3.67","3.00",,"440","1027.0","0"
"201LA252","코스피200 C 201610 252.5","2.05","-1.45","3.35","3.85","1.23","11.00",,"89573","94078.0","0"
"201LA255","코스피200 C 201610 255.0","0.09","-1.35","1.23","1.58","0.03","5.00",,"633591","134350.0","0"
"201LA257","코스피200 C 201610 257.5","0.01","-0.34","0.21","0.30","0.01","10.00",,"461323","19814.0","0"
"201LA260","코스피200 C 201610 260.0","0.01","-0.03","0.02","0.03","0.01","18.00",,"129383","1070.0","0"
"201LA262","코스피200 C 201610 262.5","0.01","0.00","0.01","0.01","0.01","24.00",,"6229","31.0","0"
"201LA265","코스피200 C 201610 265.0","0.01","0.00","0.01","0.01","0.01","31.00",,"1945","10.0","0"
"201LA267","코스피200 C 201610 267.5","0.01","0.00","0.01","0.01","0.01","37.00",,"107","1.0","0"
"201LA270","코스피200 C 201610 270.0","0.01","0.00","0.01","0.01","0.01","43.00",,"59","0.0","0"
"201LA272","코스피200 C 201610 272.5","0.01","0.00","0.01","0.01","0.01","50.00",,"12","0.0","0"
"201LA275","코스피200 C 201610 275.0","0.01","0.00","0.01","0.01","0.01","54.00",,"1","0.0","0"
"201LA277","코스피200 C 201610 277.5","0.01","0.00","0.01","0.01","0.01","63.00",,"500","3.0","0"
"201LA280","코스피200 C 201610 280.0","0.01","0.00","0.01","0.01","0.01","67.00",,"1003","5.0","0"
"201LA282","코스피200 C 201610 282.5","0.01","0.00","0.01","0.01","0.01","73.00",,"1","0.0","0"
"201LA285","코스피200 C 201610 285.0","0.01","0.00","0.01","0.01","0.01","79.00",,"3","0.0","0"
"201LA287","코스피200 C 201610 287.5",,,,,,"12.00",,"1","0.0","0"
"201LA290","코스피200 C 201610 290.0","0.01","0.00","0.01","0.01","0.01","90.00",,"3","0.0","0"
"201LB207","코스피200 C 201611 207.5",,,,,,"12.00","46.65","0","0.0","874"
"201LB210","코스피200 C 201611 210.0","44.70","-1.70","46.20","46.20","44.50","3.00","44.70","40","904.0","140"
"201LB212","코스피200 C 201611 212.5",,,,,,"12.00","41.65","0","0.0","0"
"201LB215","코스피200 C 201611 215.0",,,,,,"12.00","39.15","0","0.0","1"
"201LB217","코스피200 C 201611 217.5",,,,,,"12.00","36.65","0","0.0","0"
"201LB220","코스피200 C 201611 220.0",,,,,,"12.00","34.15","0","0.0","0"
"201LB222","코스피200 C 201611 222.5",,,,,,"12.00","31.65","0","0.0","0"
"201LB225","코스피200 C 201611 225.0",,,,,,"12.00","29.15","0","0.0","4"
"201LB227","코스피200 C 201611 227.5",,,,,,"12.00","26.65","0","0.0","0"
"201LB230","코스피200 C 201611 230.0","23.85","-2.25","25.85","25.85","23.15","3.00","23.85","43","536.0","58"
"201LB232","코스피200 C 201611 232.5",,,,,,"12.00","21.70","0","0.0","0"
"201LB235","코스피200 C 201611 235.0","20.50","-1.50","20.50","20.50","20.50","16.00","20.50","1","10.0","4"
"201LB237","코스피200 C 201611 237.5",,,,,,"12.00","16.75","0","0.0","0"
"201LB240","코스피200 C 201611 240.0","14.95","-2.05","16.70","16.75","14.95","12.00","14.95","351","2682.0","361"
"201LB242","코스피200 C 201611 242.5","12.50","-1.80","13.00","13.15","12.50","15.00","12.50","10","64.0","55"
"201LB245","코스피200 C 201611 245.0","10.00","-2.50","11.95","11.95","10.00","13.00","10.00","67","369.0","84"
"201LB247","코스피200 C 201611 247.5","8.43","-2.37","9.49","9.49","8.38","13.00","8.43","30","130.0","61"
"201LB250","코스피200 C 201611 250.0","6.40","-1.84","7.70","7.70","6.39","14.00","6.40","128","444.0","2446"
"201LB252","코스피200 C 201611 252.5","4.73","-1.63","6.20","6.26","4.68","13.00","4.73","625","1634.0","808"
