종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201G5245","코스피200 C 201205 245.0","17.80","-3.15","19.10","19.10","17.35","20.00","17.80","150","271.0","4591"
"201G5247","코스피200 C 201205 247.5","15.60","-2.95","16.50","16.50","15.15","20.00","15.60","24","38.0","373"
"201G5250","코스피200 C 201205 250.0","13.15","-3.25","14.00","14.70","12.90","18.00","13.15","379","512.0","2860"
"201G5252","코스피200 C 201205 252.5","11.00","-3.10","11.70","11.70","10.80","18.00","11.00","419","475.0","656"
"201G5255","코스피200 C 201205 255.0","8.90","-3.05","10.55","10.55","8.75","17.00","8.90","2242","2065.0","2482"
"201G5257","코스피200 C 201205 257.5","7.00","-2.90","8.50","8.70","6.90","16.50","7.00","6027","4399.0","3246"
"201G5260","코스피200 C 201205 260.0","5.30","-2.65","6.55","6.75","5.25","16.00","5.30","31742","17780.0","12565"
"201G5262","코스피200 C 201205 262.5","3.95","-2.20","5.00","5.10","3.80","16.00","3.95","48025","19931.0","17101"
"201G5265","코스피200 C 201205 265.0","2.75","-1.95","3.65","3.70","2.66","15.50","2.75","247273","71287.0","42799"
"201G5267","코스피200 C 201205 267.5","1.87","-1.53","2.70","2.70","1.76","15.40","1.87","423712","83626.0","57090"
"201G5270","코스피200 C 201205 270.0","1.18","-1.10","1.60","1.66","1.12","15.10","1.18","504661","64282.0","98861"
"201G5272","코스피200 C 201205 272.5","0.74","-0.74","0.96","1.03","0.67","15.10","0.74","508539","39560.0","99365"
"201G5275","코스피200 C 201205 275.0","0.41","-0.51","0.60","0.61","0.39","14.80","0.41","519462","23565.0","133434"
"201G5277","코스피200 C 201205 277.5","0.24","-0.27","0.33","0.34","0.22","14.90","0.24","451576","11446.0","113782"
"201G5280","코스피200 C 201205 280.0","0.13","-0.17","0.19","0.20","0.12","15.10","0.13","296812","4370.0","124654"
"201G5282","코스피200 C 201205 282.5","0.07","-0.08","0.10","0.11","0.07","15.10","0.07","164013","1360.0","112465"
"201G5285","코스피200 C 201205 285.0","0.04","-0.05","0.07","0.07","0.04","15.30","0.04","93851","461.0","84549"
"201G5287","코스피200 C 201205 287.5","0.03","-0.02","0.04","0.04","0.02","16.20","0.03","120747","364.0","140453"
"201G6215","코스피200 C 201206 215.0","47.85","-3.55","49.55","49.55","47.85","16.00","47.85","19","93.0","2358"
"201G6217","코스피200 C 201206 217.5",,,,,,"15.50","45.45","0","0.0","3"
"201G6220","코스피200 C 201206 220.0","42.75","-3.85","43.65","43.65","42.75","16.00","42.75","36","155.0","300"
"201G6222","코스피200 C 201206 222.5",,,,,,"15.50","40.50","0","0.0","2"
"201G6225","코스피200 C 201206 225.0",,,,,,"15.50","38.00","0","0.0","74"
"201G6227","코스피200 C 201206 227.5",,,,,,"15.50","35.55","0","0.0","22"
"201G6230","코스피200 C 201206 230.0",,,,,,"15.50","33.05","0","0.0","135"
"201G6232","코스피200 C 201206 232.5","31.20","-3.20","31.20","31.20","31.20","20.00","31.20","4","12.0","109"
"201G6235","코스피200 C 201206 235.0","28.85","-3.70","28.90","28.90","28.85","20.00","28.85","6","17.0","190"
"201G6237","코스피200 C 201206 237.5",,,,,,"15.50","25.80","0","0.0","107"
