종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201F3215","코스피200 C 201103 215.0","44.05","4.55","41.70","44.35","41.70","3.00","44.05","141","617.0","3971"
"201F3217","코스피200 C 201103 217.5","39.20","2.15","39.20","39.20","39.20","3.00","39.20","1","4.0","317"
"201F3220","코스피200 C 201103 220.0","36.70","2.15","36.70","36.70","36.70","3.00","36.70","1","4.0","1265"
"201F3222","코스피200 C 201103 222.5","34.25","1.55","34.25","34.25","34.25","3.00","34.25","1","3.0","94"
"201F3225","코스피200 C 201103 225.0","33.25","3.70","31.75","33.25","31.75","3.00","33.25","2","7.0","526"
"201F3227","코스피200 C 201103 227.5","29.25","1.55","29.25","29.25","29.25","3.00","29.25","1","3.0","55"
"201F3230","코스피200 C 201103 230.0","29.75","4.25","26.75","30.10","26.75","3.00","29.75","10","29.0","2470"
"201F3232","코스피200 C 201103 232.5","27.00","4.90","24.65","27.00","24.25","3.00","27.00","24","60.0","56"
"201F3235","코스피200 C 201103 235.0","24.35","4.35","21.75","24.35","21.75","3.00","24.35","3","7.0","2970"
"201F3237","코스피200 C 201103 237.5","22.20","5.05","19.25","22.20","19.25","3.00","22.20","2","4.0","27"
"201F3240","코스피200 C 201103 240.0","19.40","4.15","16.40","19.45","16.40","3.00","19.40","82","153.0","4186"
"201F3242","코스피200 C 201103 242.5","17.50","4.65","13.95","17.50","13.95","3.00","17.50","70","105.0","224"
"201F3245","코스피200 C 201103 245.0","15.00","4.60","11.40","15.05","11.40","3.00","15.00","1500","1934.0","9396"
"201F3247","코스피200 C 201103 247.5","12.55","4.25","9.10","12.60","9.00","3.00","12.55","3362","3387.0","2279"
"201F3250","코스피200 C 201103 250.0","10.20","3.90","7.10","10.30","6.80","3.00","10.20","7746","6460.0","17663"
"201F3252","코스피200 C 201103 252.5","8.05","3.55","5.60","8.10","4.90","3.00","8.05","27517","16986.0","18164"
"201F3255","코스피200 C 201103 255.0","6.05","3.16","3.25","6.05","3.25","14.00","6.05","83952","37309.0","45343"
"201F3257","코스피200 C 201103 257.5","4.05","2.26","2.05","4.20","2.04","13.80","4.05","506547","135282.0","52427"
"201F3260","코스피200 C 201103 260.0","2.61","1.66","1.09","2.70","1.06","14.80","2.61","1847967","331875.0","129812"
"201F3262","코스피200 C 201103 262.5","1.54","1.05","0.57","1.58","0.55","15.10","1.54","1834487","184363.0","153619"
"201F3265","코스피200 C 201103 265.0","0.82","0.57","0.26","0.85","0.24","15.40","0.82","1851229","85856.0","213355"
"201F3267","코스피200 C 201103 267.5","0.42","0.32","0.12","0.43","0.10","15.80","0.42","1140990","25403.0","225778"
"201F3270","코스피200 C 201103 270.0","0.17","0.11","0.06","0.20","0.04","15.70","0.17","818951","8654.0","351098"
"201F3272","코스피200 C 201103 272.5","0.08","0.05","0.03","0.10","0.02","16.40","0.08","408403","2063.0","119328"
"201F3275","코스피200 C 201103 275.0","0.05","0.03","0.02","0.05","0.01","17.60","0.05","222909","627.0","167407"
"201F3277","코스피200 C 201103 277.5","0.03","0.01","0.02","0.03","0.01","18.80","0.03","98559","207.0","170011"
"201F3280","코스피200 C 201103 280.0","0.02","0.00","0.01","0.02","0.01","20.20","0.02","68791","131.0","213722"
"201F3282","코스피200 C 201103 282.5","0.01","0.00","0.01","0.02","0.01","20.70","0.01","102640","105.0","138787"
"201F3285","코스피200 C 201103 285.0","0.01","0.00","0.01","0.02","0.01","22.70","0.01","47856","48.0","104870"
"201F3287","코스피200 C 201103 287.5","0.02","0.01","0.01","0.02","0.01","26.50","0.02","21915","24.0","96604"
"201F3290","코스피200 C 201103 290.0","0.01","-0.01","0.01","0.01","0.01","26.80","0.01","65370","65.0","132044"
"201F3292","코스피200 C 201103 292.5","0.01","0.00","0.01","0.01","0.01","28.70","0.01","931","1.0","112903"
"201F3295","코스피200 C 201103 295.0","0.01","0.00","0.01","0.01","0.01","30.50","0.01","4689","5.0","117565"
"201F4240","코스피200 C 201104 240.0","20.85","4.10","18.70","20.85","18.60","8.00","20.85","51","104.0","48"
"201F4242","코스피200 C 201104 242.5","18.65","3.25","16.25","18.65","16.25","16.00","18.65","92","164.0","175"
"201F4245","코스피200 C 201104 245.0","17.00","3.60","14.40","17.00","14.35","16.00","17.00","517","802.0","1198"
"201F4247","코스피200 C 201104 247.5","15.00","3.25","12.65","15.00","12.65","16.00","15.00","209","278.0","633"
"201F4250","코스피200 C 201104 250.0","13.00","3.15","10.80","13.00","10.65","16.50","13.00","389","448.0","1187"
"201F4252","코스피200 C 201104 252.5","11.10","2.75","9.20","11.80","9.05","16.00","11.10","507","503.0","1043"
"201F4255","코스피200 C 201104 255.0","9.40","2.45","7.45","9.40","7.40","16.30","9.40","1183","1004.0","2380"
"201F4257","코스피200 C 201104 257.5","7.85","2.35","6.00","7.85","6.00","16.30","7.85","1572","1085.0","3098"
"201F4260","코스피200 C 201104 260.0","6.30","1.85","4.75","6.35","4.75","15.80","6.30","5366","2928.0","7300"
"201F4262","코스피200 C 201104 262.5","5.05","1.60","3.95","5.05","3.70","15.80","5.05","7580","3208.0","8410"
"201F4265","코스피200 C 201104 265.0","3.90","1.32","2.78","3.90","2.77","15.40","3.90","9423","2999.0","11905"
"201F4267","코스피200 C 201104 267.5","2.94","1.06","1.94","2.95","1.94","15.10","2.94","15371","3735.0","11963"
"201F4270","코스피200 C 201104 270.0","2.15","0.76","1.45","2.17","1.43","15.00","2.15","27934","4773.0","21922"
"201F4272","코스피200 C 201104 272.5","1.56","0.59","1.04","1.57","0.99","14.80","1.56","19996","2452.0","20085"
"201F4275","코스피200 C 201104 275.0","1.07","0.44","0.70","1.08","0.66","14.60","1.07","20709","1726.0","22024"
"201F4277","코스피200 C 201104 277.5","0.71","0.28","0.46","0.74","0.44","14.40","0.71","22505","1224.0","16823"
"201F4280","코스피200 C 201104 280.0","0.47","0.17","0.33","0.50","0.28","14.30","0.47","19991","790.0","23674"
