종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201M4220","코스피200 C 201704 220.0","61.00","0.70","61.40","61.40","60.90","3.00","61.00","138","2108.0","3268"
"201M4222","코스피200 C 201704 222.5",,,,,,"9.00","58.90","0","0.0","40"
"201M4225","코스피200 C 201704 225.0",,,,,,"9.00","56.40","0","0.0","0"
"201M4227","코스피200 C 201704 227.5",,,,,,"9.00","53.90","0","0.0","28"
"201M4230","코스피200 C 201704 230.0",,,,,,"9.00","51.40","0","0.0","4"
"201M4232","코스피200 C 201704 232.5",,,,,,"9.00","48.90","0","0.0","0"
"201M4235","코스피200 C 201704 235.0",,,,,,"9.00","46.40","0","0.0","8"
"201M4237","코스피200 C 201704 237.5",,,,,,"9.00","43.90","0","0.0","18"
"201M4240","코스피200 C 201704 240.0",,,,,,"9.00","41.40","0","0.0","60"
"201M4242","코스피200 C 201704 242.5",,,,,,"9.00","38.90","0","0.0","27"
"201M4245","코스피200 C 201704 245.0","35.70","0.20","35.70","35.70","35.70","3.00","35.70","1","9.0","11"
"201M4247","코스피200 C 201704 247.5","33.20","0.20","33.20","33.20","33.20","3.00","33.20","1","8.0","21"
"201M4250","코스피200 C 201704 250.0",,,,,,"9.00","31.40","0","0.0","26"
"201M4252","코스피200 C 201704 252.5",,,,,,"9.00","28.90","0","0.0","34"
"201M4255","코스피200 C 201704 255.0","26.05","0.30","25.95","26.05","25.85","16.00","26.05","10","65.0","297"
"201M4257","코스피200 C 201704 257.5","23.25","0.00","23.35","23.50","23.25","16.00","23.25","16","94.0","323"
"201M4260","코스피200 C 201704 260.0","20.85","0.55","21.00","21.00","20.70","3.00","20.85","17","88.0","1142"
"201M4262","코스피200 C 201704 262.5","18.40","0.45","18.20","18.60","18.05","3.00","18.40","16","73.0","3821"
"201M4265","코스피200 C 201704 265.0","15.80","0.30","15.80","15.80","15.80","8.00","15.80","2","8.0","990"
"201M4267","코스피200 C 201704 267.5","13.30","0.35","14.00","14.00","13.25","3.00","13.30","14","48.0","2498"
"201M4270","코스피200 C 201704 270.0","11.30","0.70","11.40","11.50","10.85","3.00","11.30","113","315.0","9520"
"201M4272","코스피200 C 201704 272.5","8.71","0.32","9.50","9.58","8.39","3.00","8.71","279","614.0","16350"
"201M4275","코스피200 C 201704 275.0","6.64","0.44","7.03","7.26","6.22","8.00","6.64","441","718.0","27045"
"201M4277","코스피200 C 201704 277.5","4.63","0.34","5.16","5.32","4.26","8.00","4.63","3193","3702.0","38248"
"201M4280","코스피200 C 201704 280.0","2.92","0.18","3.40","3.55","2.65","8.00","2.92","30739","22527.0","52277"
"201M4282","코스피200 C 201704 282.5","1.68","0.08","2.02","2.15","1.49","8.00","1.68","88626","38392.0","56549"
"201M4285","코스피200 C 201704 285.0","0.89","0.03","1.13","1.17","0.74","9.00","0.89","114834","26034.0","94274"
"201M4287","코스피200 C 201704 287.5","0.47","0.03","0.58","0.63","0.37","9.00","0.47","130695","15222.0","79273"
"201M4290","코스피200 C 201704 290.0","0.24","0.01","0.30","0.33","0.18","10.00","0.24","99728","6005.0","59248"
"201M4292","코스피200 C 201704 292.5","0.14","0.02","0.16","0.17","0.09","10.00","0.14","75115","2364.0","60127"
"201M4295","코스피200 C 201704 295.0","0.08","0.00","0.10","0.10","0.05","11.00","0.08","133545","2436.0","100315"
"201M4297","코스피200 C 201704 297.5","0.05","0.00","0.06","0.07","0.03","12.00","0.05","65784","748.0","58094"
"201M4300","코스피200 C 201704 300.0","0.04","0.00","0.04","0.05","0.02","13.00","0.04","59031","504.0","80896"
"201M4302","코스피200 C 201704 302.5","0.02","0.00","0.02","0.03","0.01","13.00","0.02","8265","41.0","50245"
"201M4305","코스피200 C 201704 305.0","0.01","-0.01","0.01","0.02","0.01","14.00","0.01","1191","4.0","77557"
"201M4307","코스피200 C 201704 307.5","0.01","0.00","0.01","0.01","0.01","15.00","0.01","5932","15.0","27723"
"201M4310","코스피200 C 201704 310.0","0.01","0.00","0.01","0.01","0.01","16.00","0.01","755","2.0","13585"
"201M4312","코스피200 C 201704 312.5",,,,,,"9.00","0.01","42","0.0","13817"
"201M4315","코스피200 C 201704 315.0","0.01","0.00","0.01","0.01","0.01","19.00","0.01","11","0.0","29517"
"201M5220","코스피200 C 201705 220.0",,,,,,"9.00","61.65","0","0.0","48"
"201M5222","코스피200 C 201705 222.5",,,,,,"9.00","59.15","0","0.0","16"
"201M5225","코스피200 C 201705 225.0",,,,,,"9.00","56.65","0","0.0","10"
"201M5227","코스피200 C 201705 227.5",,,,,,"9.00","54.15","0","0.0","4"
"201M5230","코스피200 C 201705 230.0",,,,,,"9.00","51.65","0","0.0","0"
"201M5232","코스피200 C 201705 232.5",,,,,,"9.00","49.15","0","0.0","0"
"201M5235","코스피200 C 201705 235.0",,,,,,"9.00","46.65","0","0.0","0"
"201M5237","코스피200 C 201705 237.5",,,,,,"9.00","44.15","0","0.0","0"
"201M5240","코스피200 C 201705 240.0",,,,,,"9.00","41.65","0","0.0","0"
"201M5242","코스피200 C 201705 242.5",,,,,,"9.00","39.15","0","0.0","1"
"201M5245","코스피200 C 201705 245.0",,,,,,"9.00","36.70","0","0.0","1"
"201M5247","코스피200 C 201705 247.5",,,,,,"9.00","34.20","0","0.0","0"
"201M5250","코스피200 C 201705 250.0",,,,,,"9.00","31.70","0","0.0","14"
"201M5252","코스피200 C 201705 252.5",,,,,,"9.00","29.20","0","0.0","8"
"201M5255","코스피200 C 201705 255.0","26.50","0.70","26.10","26.50","26.10","16.00","26.50","10","66.0","822"
"201M5257","코스피200 C 201705 257.5","24.15","0.80","24.10","24.15","24.05","12.00","24.15","11","66.0","16"
"201M5260","코스피200 C 201705 260.0","21.00","0.15","21.00","21.00","21.00","3.00","21.00","2","11.0","2114"
"201M5262","코스피200 C 201705 262.5",,,,,,"9.00","19.25","0","0.0","78"
"201M5265","코스피200 C 201705 265.0","16.95","0.95","16.95","16.95","16.95","12.00","16.95","1","4.0","117"
"201M5267","코스피200 C 201705 267.5","14.45","0.75","14.75","14.75","14.45","12.00","14.45","2","7.0","270"
"201M5270","코스피200 C 201705 270.0",,,,,,"9.00","12.10","0","0.0","5988"
"201M5272","코스피200 C 201705 272.5","10.10","0.00","10.70","10.70","10.10","10.00","10.10","4","10.0","885"
"201M5275","코스피200 C 201705 275.0","8.56","0.20","8.29","8.56","8.07","10.00","8.56","260","538.0","1207"
"201M5277","코스피200 C 201705 277.5","6.61","0.20","7.05","7.35","6.49","10.00","6.61","60","104.0","3056"
"201M5280","코스피200 C 201705 280.0","5.10","0.18","5.65","5.65","4.82","10.00","5.10","458","575.0","7127"
"201M5282","코스피200 C 201705 282.5","3.68","0.07","4.20","4.20","3.51","10.00","3.68","318","299.0","6787"
"201M5285","코스피200 C 201705 285.0","2.58","0.01","2.69","3.05","2.45","10.00","2.58","599","391.0","6916"
"201M5287","코스피200 C 201705 287.5","1.74","-0.03","1.95","2.13","1.65","9.00","1.74","797","351.0","6286"
"201M5290","코스피200 C 201705 290.0","1.15","-0.04","1.43","1.48","1.08","9.00","1.15","2343","697.0","15346"
"201M5292","코스피200 C 201705 292.5","0.74","-0.04","0.93","0.98","0.69","10.00","0.74","2762","527.0","10239"
"201M5295","코스피200 C 201705 295.0","0.46","-0.05","0.61","0.64","0.44","10.00","0.46","2668","335.0","7652"
"201M5297","코스피200 C 201705 297.5","0.30","-0.03","0.42","0.42","0.28","10.00","0.30","1647","134.0","6774"
"201M5300","코스피200 C 201705 300.0","0.19","-0.03","0.24","0.28","0.18","10.00","0.19","1785","98.0","5631"
"201M5302","코스피200 C 201705 302.5","0.13","-0.03","0.19","0.19","0.12","10.00","0.13","601","23.0","3508"
"201M5305","코스피200 C 201705 305.0","0.08","-0.03","0.13","0.13","0.08","10.00","0.08","672","17.0","3057"
"201M5307","코스피200 C 201705 307.5","0.06","-0.01","0.08","0.09","0.06","11.00","0.06","997","17.0","2780"
"201M5310","코스피200 C 201705 310.0","0.04","-0.02","0.06","0.06","0.04","11.00","0.04","201","3.0","2895"
"201M5312","코스피200 C 201705 312.5","0.03","-0.01","0.05","0.05","0.03","12.00","0.03","144","1.0","2244"
"201M5315","코스피200 C 201705 315.0","0.03","0.00","0.03","0.04","0.03","13.00","0.03","652","5.0","3236"
"201M6190","코스피200 C 201706 190.0",,,,,,"9.00","91.80","0","0.0","180"
"201M6192","코스피200 C 201706 192.5",,,,,,"9.00","89.30","0","0.0","8"
"201M6195","코스피200 C 201706 195.0",,,,,,"9.00","86.80","0","0.0","0"
"201M6197","코스피200 C 201706 197.5",,,,,,"9.00","84.30","0","0.0","0"
"201M6200","코스피200 C 201706 200.0",,,,,,"9.00","81.80","0","0.0","0"
"201M6202","코스피200 C 201706 202.5",,,,,,"9.00","79.35","0","0.0","0"
"201M6205","코스피200 C 201706 205.0",,,,,,"9.00","76.85","0","0.0","36"
