종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201L2192","코스피200 C 201602 192.5","38.40","0.15","38.40","38.40","38.40","32.00","38.40","1","19.0","760"
"201L2195","코스피200 C 201602 195.0","34.45","-0.30","34.45","34.45","34.45","48.00","34.45","1","17.0","47"
"201L2197","코스피200 C 201602 197.5","32.95","0.95","32.95","32.95","32.95","32.00","32.95","1","16.0","12"
"201L2200","코스피200 C 201602 200.0","28.55","-1.00","28.55","28.55","28.55","3.00","28.55","1","14.0","16"
"201L2202","코스피200 C 201602 202.5","27.40","-0.10","27.40","27.40","27.40","32.00","27.40","1","14.0","14"
"201L2205","코스피200 C 201602 205.0","25.80","1.05","25.80","25.80","25.80","32.00","25.80","1","13.0","21"
"201L2207","코스피200 C 201602 207.5","23.00","0.55","23.00","23.00","23.00","28.00","23.00","1","12.0","11"
"201L2210","코스피200 C 201602 210.0","20.10","-0.85","20.10","20.10","20.10","28.00","20.10","1","10.0","272"
"201L2212","코스피200 C 201602 212.5","18.80","1.00","17.60","18.90","17.60","3.00","18.80","16","147.0","137"
"201L2215","코스피200 C 201602 215.0","15.85","0.75","14.05","15.85","14.05","16.00","15.85","10","76.0","72"
"201L2217","코스피200 C 201602 217.5","13.70","0.75","11.65","13.70","11.65","20.00","13.70","3","20.0","72"
"201L2220","코스피200 C 201602 220.0","11.50","0.20","10.00","11.80","9.28","3.00","11.50","107","571.0","520"
"201L2222","코스피200 C 201602 222.5","9.33","0.17","8.16","9.53","7.20","13.00","9.33","103","468.0","1214"
"201L2225","코스피200 C 201602 225.0","6.94","-0.14","5.89","7.45","5.28","11.00","6.94","552","1795.0","2254"
"201L2227","코스피200 C 201602 227.5","5.04","-0.15","3.98","5.55","3.62","13.00","5.04","2765","6370.0","4739"
"201L2230","코스피200 C 201602 230.0","3.39","-0.16","2.63","3.80","2.29","13.00","3.39","37004","55853.0","11139"
"201L2232","코스피200 C 201602 232.5","2.06","-0.13","1.54","2.38","1.29","13.00","2.06","104832","99102.0","15836"
"201L2235","코스피200 C 201602 235.0","1.08","-0.12","0.80","1.32","0.63","12.00","1.08","151777","75678.0","24651"
"201L2237","코스피200 C 201602 237.5","0.50","-0.07","0.36","0.62","0.25","12.00","0.50","178190","39095.0","34618"
"201L2240","코스피200 C 201602 240.0","0.19","-0.04","0.12","0.24","0.09","12.00","0.19","206101","16698.0","68575"
"201L2242","코스피200 C 201602 242.5","0.07","-0.02","0.05","0.10","0.03","12.00","0.07","213480","6638.0","51941"
"201L2245","코스피200 C 201602 245.0","0.03","-0.01","0.02","0.04","0.02","12.00","0.03","62063","982.0","39433"
"201L2247","코스피200 C 201602 247.5","0.02","0.00","0.02","0.02","0.01","13.00","0.02","14389","142.0","36451"
"201L2250","코스피200 C 201602 250.0","0.01","0.00","0.01","0.02","0.01","14.00","0.01","21649","109.0","24863"
"201L2252","코스피200 C 201602 252.5","0.01","0.00","0.01","0.01","0.01","16.00","0.01","258","1.0","28453"
"201L2255","코스피200 C 201602 255.0","0.01","0.00","0.01","0.01","0.01","18.00","0.01","15","0.0","24845"
"201L2257","코스피200 C 201602 257.5","0.01","0.00","0.01","0.01","0.01","19.00","0.01","24","0.0","7848"
"201L2260","코스피200 C 201602 260.0",,,,,,"12.00","0.01","0","0.0","6361"
"201L2262","코스피200 C 201602 262.5","0.01","0.00","0.01","0.01","0.01","22.00","0.01","4","0.0","4105"
"201L2265","코스피200 C 201602 265.0",,,,,,"12.00","0.01","0","0.0","2455"
"201L2267","코스피200 C 201602 267.5","0.01","0.00","0.01","0.01","0.01","27.00","0.01","1","0.0","1394"
"201L2270","코스피200 C 201602 270.0","0.01","0.00","0.01","0.01","0.01","28.00","0.01","3","0.0","2791"
"201L2272","코스피200 C 201602 272.5",,,,,,"12.00","0.01","0","0.0","1194"
"201L2275","코스피200 C 201602 275.0","0.01","0.00","0.01","0.01","0.01","31.00","0.01","1","0.0","471"
"201L2277","코스피200 C 201602 277.5","0.01","0.00","0.01","0.01","0.01","33.00","0.01","1","0.0","1157"
"201L2280","코스피200 C 201602 280.0",,,,,,"12.00","0.01","0","0.0","379"
"201L2282","코스피200 C 201602 282.5","0.01","0.00","0.01","0.01","0.01","34.00","0.01","2","0.0","1657"
"201L3190","코스피200 C 201603 190.0",,,,,,"12.00","41.85","0","0.0","189"
"201L3192","코스피200 C 201603 192.5","39.25","0.40","39.25","39.25","39.25","24.00","39.25","1","20.0","3"
"201L3195","코스피200 C 201603 195.0","36.30","-0.05","36.30","36.30","36.30","16.00","36.30","1","18.0","0"
"201L3197","코스피200 C 201603 197.5","33.30","-0.55","33.30","33.30","33.30","16.00","33.30","1","17.0","0"
"201L3200","코스피200 C 201603 200.0","31.00","-0.35","31.00","31.00","31.00","16.00","31.00","1","16.0","43"
"201L3202","코스피200 C 201603 202.5","29.00","0.15","29.00","29.00","29.00","24.00","29.00","1","15.0","0"
"201L3205","코스피200 C 201603 205.0","26.45","0.05","26.45","26.45","26.45","20.00","26.45","1","13.0","0"
"201L3207","코스피200 C 201603 207.5","24.15","0.25","24.15","24.15","24.15","22.00","24.15","1","12.0","0"
"201L3210","코스피200 C 201603 210.0","21.80","0.35","21.80","21.80","21.80","20.00","21.80","1","11.0","8"
"201L3212","코스피200 C 201603 212.5","19.65","0.60","19.65","19.65","19.65","21.00","19.65","1","10.0","2"
"201L3215","코스피200 C 201603 215.0","17.40","0.70","17.40","17.40","17.40","21.00","17.40","1","9.0","0"
"201L3217","코스피200 C 201603 217.5","15.45","1.05","15.45","15.45","15.45","20.00","15.45","1","8.0","2"
"201L3220","코스피200 C 201603 220.0","13.30","0.70","13.30","13.30","13.30","19.00","13.30","1","7.0","1757"
"201L3222","코스피200 C 201603 222.5","11.35","1.15","11.35","11.35","11.35","19.00","11.35","1","6.0","27"
"201L3225","코스피200 C 201603 225.0","9.80","0.35","8.48","9.80","8.48","19.00","9.80","7","33.0","123"
"201L3227","코스피200 C 201603 227.5","7.91","0.11","6.77","7.91","6.77","18.00","7.91","4","15.0","92"
"201L3230","코스피200 C 201603 230.0","6.20","0.06","5.58","6.55","4.99","16.00","6.20","354","1085.0","3352"
"201L3232","코스피200 C 201603 232.5","4.75","-0.05","4.20","5.00","3.80","15.00","4.75","116","243.0","426"
"201L3235","코스피200 C 201603 235.0","3.50","-0.14","2.75","3.66","2.65","15.00","3.50","758","1283.0","2341"
"201L3237","코스피200 C 201603 237.5","2.43","-0.06","2.02","2.68","1.85","14.00","2.43","1556","1794.0","2725"
"201L3240","코스피200 C 201603 240.0","1.65","0.00","1.32","1.80","1.21","14.00","1.65","3011","2250.0","6212"
"201L3242","코스피200 C 201603 242.5","1.03","-0.04","0.85","1.14","0.75","13.00","1.03","3545","1681.0","3680"
"201L3245","코스피200 C 201603 245.0","0.61","-0.03","0.51","0.69","0.44","13.00","0.61","4033","1138.0","5029"
"201L3247","코스피200 C 201603 247.5","0.36","-0.02","0.34","0.41","0.26","13.00","0.36","2136","364.0","4433"
"201L3250","코스피200 C 201603 250.0","0.20","-0.02","0.19","0.23","0.15","12.00","0.20","2736","255.0","9919"
"201L3252","코스피200 C 201603 252.5","0.11","-0.02","0.11","0.13","0.09","12.00","0.11","671","37.0","4206"
"201L3255","코스피200 C 201603 255.0","0.07","-0.02","0.07","0.08","0.06","13.00","0.07","272","9.0","1662"
"201L3257","코스피200 C 201603 257.5","0.05","0.00","0.04","0.05","0.04","13.00","0.05","48","1.0","981"
"201L3260","코스피200 C 201603 260.0","0.04","0.00","0.04","0.04","0.03","14.00","0.04","30","1.0","3126"
"201L3262","코스피200 C 201603 262.5","0.03","0.00","0.02","0.03","0.02","15.00","0.03","27","0.0","1002"
"201L3265","코스피200 C 201603 265.0","0.02","0.00","0.02","0.02","0.02","15.00","0.02","154","2.0","1432"
"201L3267","코스피200 C 201603 267.5","0.02","0.01","0.01","0.02","0.01","16.00","0.02","3","0.0","404"
"201L3270","코스피200 C 201603 270.0","0.01","-0.01","0.02","0.02","0.01","16.00","0.01","2","0.0","4023"
"201L3272","코스피200 C 201603 272.5",,,,,,"12.00","0.01","0","0.0","182"
"201L3275","코스피200 C 201603 275.0","0.01","0.00","0.01","0.01","0.01","17.00","0.01","37","0.0","1438"
"201L3277","코스피200 C 201603 277.5","0.01","0.00","0.01","0.01","0.01","18.00","0.01","1","0.0","666"
"201L3280","코스피200 C 201603 280.0",,,,,,"12.00","0.01","0","0.0","1313"
"201L3282","코스피200 C 201603 282.5",,,,,,"12.00","0.01","0","0.0","226"
"201L3285","코스피200 C 201603 285.0",,,,,,"12.00","0.01","0","0.0","1223"
"201L3287","코스피200 C 201603 287.5",,,,,,"12.00","0.01","0","0.0","212"
"201L3290","코스피200 C 201603 290.0",,,,,,"12.00","0.01","0","0.0","1360"
"201L3292","코스피200 C 201603 292.5",,,,,,"12.00","0.01","0","0.0","300"
"201L3295","코스피200 C 201603 295.0","0.01","0.00","0.01","0.01","0.01","25.00","0.01","1","0.0","944"
"201L3297","코스피200 C 201603 297.5",,,,,,"12.00","0.01","0","0.0","357"
"201L3300","코스피200 C 201603 300.0",,,,,,"12.00","0.01","0","0.0","813"
"201L3302","코스피200 C 201603 302.5",,,,,,"12.00","0.01","0","0.0","598"
"201L3305","코스피200 C 201603 305.0","0.01","0.00","0.01","0.01","0.01","27.00","0.01","4","0.0","3610"
"201L4195","코스피200 C 201604 195.0",,,,,,"12.00","37.20","0","0.0","0"
"201L4197","코스피200 C 201604 197.5",,,,,,"12.00","34.70","0","0.0","0"
"201L4200","코스피200 C 201604 200.0",,,,,,"12.00","32.20","0","0.0","0"
"201L4202","코스피200 C 201604 202.5",,,,,,"12.00","29.75","0","0.0","0"
"201L4205","코스피200 C 201604 205.0",,,,,,"12.00","27.30","0","0.0","0"
"201L4207","코스피200 C 201604 207.5",,,,,,"12.00","24.85","0","0.0","0"
"201L4210","코스피200 C 201604 210.0",,,,,,"12.00","22.45","0","0.0","0"
