종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201PC195","코스피200 C 201912 195.0",,,,,,"16.00","81.60","0","0.0","631"
"201PC197","코스피200 C 201912 197.5",,,,,,"16.00","79.10","0","0.0","9"
"201PC200","코스피200 C 201912 200.0",,,,,,"16.00","76.60","0","0.0","196"
"201PC202","코스피200 C 201912 202.5",,,,,,"16.00","74.10","0","0.0","0"
"201PC205","코스피200 C 201912 205.0",,,,,,"16.00","71.60","0","0.0","4"
"201PC207","코스피200 C 201912 207.5",,,,,,"16.00","69.10","0","0.0","0"
"201PC210","코스피200 C 201912 210.0",,,,,,"16.00","66.60","0","0.0","1049"
"201PC212","코스피200 C 201912 212.5",,,,,,"16.00","64.10","0","0.0","0"
"201PC215","코스피200 C 201912 215.0",,,,,,"16.00","61.60","0","0.0","0"
"201PC217","코스피200 C 201912 217.5",,,,,,"16.00","59.10","0","0.0","0"
"201PC220","코스피200 C 201912 220.0",,,,,,"16.00","56.60","0","0.0","4164"
"201PC222","코스피200 C 201912 222.5",,,,,,"16.00","54.10","0","0.0","0"
"201PC225","코스피200 C 201912 225.0",,,,,,"16.00","51.60","0","0.0","0"
"201PC227","코스피200 C 201912 227.5",,,,,,"16.00","49.10","0","0.0","0"
"201PC230","코스피200 C 201912 230.0",,,,,,"16.00","46.60","0","0.0","796"
"201PC232","코스피200 C 201912 232.5",,,,,,"16.00","44.10","0","0.0","1"
"201PC235","코스피200 C 201912 235.0",,,,,,"16.00","41.60","0","0.0","0"
"201PC237","코스피200 C 201912 237.5",,,,,,"16.00","39.10","0","0.0","0"
"201PC240","코스피200 C 201912 240.0",,,,,,"16.00","36.60","0","0.0","1041"
"201PC242","코스피200 C 201912 242.5",,,,,,"16.00","34.10","0","0.0","2"
"201PC245","코스피200 C 201912 245.0",,,,,,"16.00","31.60","0","0.0","533"
"201PC247","코스피200 C 201912 247.5",,,,,,"16.00","29.10","0","0.0","1"
"201PC250","코스피200 C 201912 250.0",,,,,,"16.00","26.60","0","0.0","3472"
"201PC252","코스피200 C 201912 252.5",,,,,,"16.00","24.10","0","0.0","603"
"201PC255","코스피200 C 201912 255.0",,,,,,"16.00","21.60","0","0.0","4709"
