종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201N4265","코스피200 C 201804 265.0","48.20","-0.75","49.50","49.50","48.20","64.00","48.20","6","73.0","689"
"201N4267","코스피200 C 201804 267.5",,,,,,"14.00","45.45","0","0.0","54"
"201N4270","코스피200 C 201804 270.0",,,,,,"14.00","42.95","0","0.0","168"
"201N4272","코스피200 C 201804 272.5",,,,,,"14.00","40.45","0","0.0","0"
"201N4275","코스피200 C 201804 275.0",,,,,,"14.00","37.95","0","0.0","0"
"201N4277","코스피200 C 201804 277.5",,,,,,"14.00","35.45","0","0.0","0"
"201N4280","코스피200 C 201804 280.0","33.15","2.55","33.50","34.85","33.15","64.00","33.15","16","138.0","344"
"201N4282","코스피200 C 201804 282.5",,,,,,"14.00","30.45","0","0.0","2"
"201N4285","코스피200 C 201804 285.0",,,,,,"14.00","27.95","0","0.0","270"
"201N4287","코스피200 C 201804 287.5",,,,,,"14.00","25.45","0","0.0","40"
"201N4290","코스피200 C 201804 290.0",,,,,,"14.00","22.95","0","0.0","116"
"201N4292","코스피200 C 201804 292.5",,,,,,"14.00","20.45","0","0.0","32"
"201N4295","코스피200 C 201804 295.0","18.30","-1.30","19.30","19.30","18.30","3.00","18.30","5","24.0","63"
"201N4297","코스피200 C 201804 297.5","17.60","3.75","17.45","17.60","17.00","3.00","17.60","14","61.0","84"
"201N4300","코스피200 C 201804 300.0","13.10","-0.90","14.50","15.00","13.10","16.00","13.10","48","171.0","425"
"201N4302","코스피200 C 201804 302.5","10.60","-0.80","12.30","12.30","10.40","28.00","10.60","15","44.0","341"
"201N4305","코스피200 C 201804 305.0","7.82","-1.11","9.30","9.85","7.82","3.00","7.82","157","350.0","1587"
"201N4307","코스피200 C 201804 307.5","5.40","-1.29","7.10","7.53","5.23","3.00","5.40","862","1305.0","5452"
"201N4310","코스피200 C 201804 310.0","3.33","-1.25","4.72","5.36","3.09","15.00","3.33","12789","13149.0","15233"
"201N4312","코스피200 C 201804 312.5","1.58","-1.27","2.85","3.31","1.45","14.00","1.58","102211","61046.0","24577"
"201N4315","코스피200 C 201804 315.0","0.53","-0.99","1.50","1.72","0.48","14.00","0.53","270905","71716.0","42086"
"201N4317","코스피200 C 201804 317.5","0.12","-0.63","0.66","0.78","0.12","13.00","0.12","432582","42854.0","54499"
"201N4320","코스피200 C 201804 320.0","0.04","-0.26","0.22","0.27","0.03","15.00","0.04","441798","12496.0","74414"
"201N4322","코스피200 C 201804 322.5","0.01","-0.09","0.06","0.07","0.01","16.00","0.01","301404","2881.0","64126"
"201N4325","코스피200 C 201804 325.0","0.01","-0.01","0.02","0.02","0.01","20.00","0.01","64808","207.0","71078"
"201N4327","코스피200 C 201804 327.5","0.01","0.00","0.01","0.01","0.01","24.00","0.01","7645","19.0","67169"
"201N4330","코스피200 C 201804 330.0","0.01","0.00","0.01","0.01","0.01","27.00","0.01","613","2.0","52766"
"201N4332","코스피200 C 201804 332.5","0.01","0.00","0.01","0.01","0.01","31.00","0.01","198","0.0","44323"
"201N4335","코스피200 C 201804 335.0","0.01","0.00","0.01","0.01","0.01","34.00","0.01","49","0.0","52176"
"201N4337","코스피200 C 201804 337.5","0.01","0.00","0.01","0.01","0.01","35.00","0.01","6","0.0","40444"
"201N4340","코스피200 C 201804 340.0","0.01","0.00","0.01","0.01","0.01","41.00","0.01","4","0.0","45425"
"201N4342","코스피200 C 201804 342.5","0.01","0.00","0.01","0.01","0.01","45.00","0.01","112","0.0","35556"
"201N4345","코스피200 C 201804 345.0","0.01","0.00","0.01","0.01","0.01","48.00","0.01","18","0.0","37991"
"201N4347","코스피200 C 201804 347.5","0.01","0.00","0.01","0.01","0.01","51.00","0.01","43","0.0","18934"
"201N4350","코스피200 C 201804 350.0",,,,,,"14.00","0.01","0","0.0","41888"
"201N4352","코스피200 C 201804 352.5",,,,,,"14.00","0.01","0","0.0","22283"
"201N4355","코스피200 C 201804 355.0",,,,,,"14.00","0.01","0","0.0","21241"
"201N4357","코스피200 C 201804 357.5","0.01","0.00","0.01","0.01","0.01","62.00","0.01","1","0.0","17250"
"201N4360","코스피200 C 201804 360.0","0.01","0.00","0.01","0.01","0.01","64.00","0.01","1","0.0","10327"
"201N4362","코스피200 C 201804 362.5","0.01","0.00","0.01","0.01","0.01","67.00","0.01","1","0.0","6946"
"201N4365","코스피200 C 201804 365.0",,,,,,"14.00","0.01","0","0.0","9389"
"201N4367","코스피200 C 201804 367.5",,,,,,"14.00","0.01","0","0.0","2719"
"201N4370","코스피200 C 201804 370.0",,,,,,"14.00","0.01","0","0.0","2262"
"201N4372","코스피200 C 201804 372.5",,,,,,"14.00","0.01","0","0.0","686"
"201N4375","코스피200 C 201804 375.0","0.01","0.00","0.01","0.01","0.01","82.00","0.01","1","0.0","1280"
"201N4377","코스피200 C 201804 377.5","0.01","0.00","0.01","0.01","0.01","85.00","0.01","1","0.0","2019"
"201N5265","코스피200 C 201805 265.0","47.80","-1.40","48.45","50.30","47.80","16.00","47.80","87","1071.0","255"
"201N5267","코스피200 C 201805 267.5",,,,,,"14.00","45.80","0","0.0","0"
"201N5270","코스피200 C 201805 270.0",,,,,,"14.00","43.30","0","0.0","0"
"201N5272","코스피200 C 201805 272.5",,,,,,"14.00","40.80","0","0.0","0"
"201N5275","코스피200 C 201805 275.0",,,,,,"14.00","38.30","0","0.0","0"
"201N5277","코스피200 C 201805 277.5",,,,,,"14.00","35.80","0","0.0","0"
"201N5280","코스피200 C 201805 280.0",,,,,,"14.00","33.30","0","0.0","2"
"201N5282","코스피200 C 201805 282.5",,,,,,"14.00","30.85","0","0.0","0"
"201N5285","코스피200 C 201805 285.0","30.25","0.80","30.10","30.50","30.00","3.00","30.25","14","106.0","14"
"201N5287","코스피200 C 201805 287.5",,,,,,"14.00","25.90","0","0.0","0"
"201N5290","코스피200 C 201805 290.0","23.50","-0.50","24.55","24.65","23.50","18.00","23.50","68","417.0","192"
"201N5292","코스피200 C 201805 292.5",,,,,,"14.00","21.05","0","0.0","0"
"201N5295","코스피200 C 201805 295.0",,,,,,"14.00","18.70","0","0.0","1"
"201N5297","코스피200 C 201805 297.5","17.75","0.15","17.55","18.30","17.55","15.00","17.75","22","99.0","119"
"201N5300","코스피200 C 201805 300.0","14.90","-0.60","16.05","16.30","14.90","16.00","14.90","21","83.0","162"
"201N5302","코스피200 C 201805 302.5","13.90","0.90","13.85","14.15","13.70","15.00","13.90","13","45.0","18"
"201N5305","코스피200 C 201805 305.0","10.35","-1.05","11.40","11.95","10.35","14.00","10.35","30","84.0","391"
"201N5307","코스피200 C 201805 307.5","8.70","-0.80","9.57","9.86","8.70","15.00","8.70","11","26.0","258"
"201N5310","코스피200 C 201805 310.0","7.07","-0.45","7.93","8.20","6.76","14.00","7.07","139","261.0","1245"
"201N5312","코스피200 C 201805 312.5","5.44","-0.64","6.25","6.57","5.28","13.00","5.44","340","494.0","1091"
"201N5315","코스피200 C 201805 315.0","4.15","-0.35","4.60","5.14","4.02","13.00","4.15","2344","2650.0","2719"
"201N5317","코스피200 C 201805 317.5","3.08","-0.27","3.60","3.88","3.00","13.00","3.08","2167","1858.0","2923"
"201N5320","코스피200 C 201805 320.0","2.25","-0.25","2.56","2.83","2.14","13.00","2.25","4531","2812.0","5409"
"201N5322","코스피200 C 201805 322.5","1.59","-0.14","1.82","2.02","1.50","13.00","1.59","5683","2462.0","7345"
"201N5325","코스피200 C 201805 325.0","1.07","-0.17","1.27","1.42","1.03","13.00","1.07","12458","3737.0","10792"
"201N5327","코스피200 C 201805 327.5","0.74","-0.14","0.88","0.98","0.71","13.00","0.74","11330","2364.0","11977"
"201N5330","코스피200 C 201805 330.0","0.48","-0.08","0.59","0.66","0.47","13.00","0.48","8426","1190.0","12719"
"201N5332","코스피200 C 201805 332.5","0.33","-0.04","0.40","0.44","0.31","13.00","0.33","4372","412.0","7410"
"201N5335","코스피200 C 201805 335.0","0.21","-0.04","0.27","0.30","0.20","13.00","0.21","6283","394.0","11227"
"201N5337","코스피200 C 201805 337.5","0.15","-0.02","0.18","0.20","0.13","13.00","0.15","6912","283.0","9784"
"201N5340","코스피200 C 201805 340.0","0.09","-0.04","0.14","0.14","0.09","13.00","0.09","9070","245.0","16807"
