종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201L8195","코스피200 C 201608 195.0","55.75","-0.45","55.65","55.75","55.65","3.00","55.75","5","139.0","926"
"201L8197","코스피200 C 201608 197.5","53.05","-0.50","53.05","53.05","53.05","32.00","53.05","1","27.0","0"
"201L8200","코스피200 C 201608 200.0","50.55","-0.50","50.55","50.55","50.55","32.00","50.55","1","25.0","61"
"201L8202","코스피200 C 201608 202.5","48.05","-1.15","48.05","48.05","48.05","16.00","48.05","1","24.0","0"
"201L8205","코스피200 C 201608 205.0","45.60","-1.10","45.60","45.60","45.60","32.00","45.60","1","23.0","198"
"201L8207","코스피200 C 201608 207.5","43.10","-1.10","43.10","43.10","43.10","16.00","43.10","1","22.0","1"
"201L8210","코스피200 C 201608 210.0","40.60","-1.10","40.60","40.60","40.60","16.00","40.60","1","20.0","8"
"201L8212","코스피200 C 201608 212.5","38.10","-0.40","38.10","38.10","38.10","16.00","38.10","1","19.0","1"
"201L8215","코스피200 C 201608 215.0","35.55","-0.50","35.55","35.55","35.55","16.00","35.55","1","18.0","5"
"201L8217","코스피200 C 201608 217.5","33.15","-0.40","33.15","33.15","33.15","16.00","33.15","1","17.0","3"
"201L8220","코스피200 C 201608 220.0","30.65","-0.50","30.65","30.65","30.65","16.00","30.65","1","15.0","6"
"201L8222","코스피200 C 201608 222.5","28.15","-0.45","28.15","28.15","28.15","8.00","28.15","1","14.0","4"
"201L8225","코스피200 C 201608 225.0","25.70","-0.45","25.70","25.70","25.70","16.00","25.70","1","13.0","102"
"201L8227","코스피200 C 201608 227.5","23.20","-0.50","23.20","23.20","23.20","8.00","23.20","1","12.0","2"
"201L8230","코스피200 C 201608 230.0","20.75","-0.50","20.75","20.75","20.75","8.00","20.75","2","21.0","16"
"201L8232","코스피200 C 201608 232.5","18.30","-0.50","18.30","18.30","18.30","8.00","18.30","1","9.0","10"
"201L8235","코스피200 C 201608 235.0","16.05","-0.40","16.20","16.20","15.60","8.00","16.05","4","32.0","344"
"201L8237","코스피200 C 201608 237.5","13.25","-0.80","13.20","13.25","13.20","14.00","13.25","6","40.0","280"
"201L8240","코스피200 C 201608 240.0","11.30","-0.45","11.80","11.80","10.80","10.00","11.30","51","282.0","1189"
"201L8242","코스피200 C 201608 242.5","8.90","-0.63","9.53","9.53","8.68","12.00","8.90","63","280.0","788"
"201L8245","코스피200 C 201608 245.0","6.99","-0.38","7.40","7.40","6.57","11.00","6.99","156","536.0","2979"
"201L8247","코스피200 C 201608 247.5","5.05","-0.47","5.60","5.60","4.71","11.00","5.05","1821","4569.0","4445"
"201L8250","코스피200 C 201608 250.0","3.44","-0.42","3.96","3.97","3.18","11.00","3.44","8669","14800.0","10506"
"201L8252","코스피200 C 201608 252.5","2.13","-0.34","2.57","2.59","1.97","10.00","2.13","41336","44641.0","14007"
"201L8255","코스피200 C 201608 255.0","1.21","-0.26","1.52","1.53","1.11","10.00","1.21","58975","36800.0","18010"
"201L8257","코스피200 C 201608 257.5","0.64","-0.17","0.83","0.84","0.57","10.00","0.64","61770","20293.0","19043"
"201L8260","코스피200 C 201608 260.0","0.32","-0.09","0.43","0.43","0.28","10.00","0.32","59858","9856.0","33127"
"201L8262","코스피200 C 201608 262.5","0.15","-0.06","0.22","0.22","0.13","10.00","0.15","44646","3749.0","30195"
"201L8265","코스피200 C 201608 265.0","0.08","-0.02","0.11","0.11","0.07","11.00","0.08","44645","1865.0","19778"
"201L8267","코스피200 C 201608 267.5","0.05","0.00","0.06","0.06","0.04","11.00","0.05","10433","253.0","16387"
"201L8270","코스피200 C 201608 270.0","0.02","-0.01","0.04","0.04","0.02","11.00","0.02","5199","78.0","14187"
"201L8272","코스피200 C 201608 272.5","0.02","0.00","0.02","0.02","0.01","13.00","0.02","715","7.0","8931"
"201L8275","코스피200 C 201608 275.0","0.01","0.00","0.01","0.02","0.01","13.00","0.01","1004","5.0","9150"
"201L8277","코스피200 C 201608 277.5","0.01","0.00","0.01","0.01","0.01","14.00","0.01","209","1.0","4109"
"201L8280","코스피200 C 201608 280.0","0.01","0.00","0.01","0.01","0.01","15.00","0.01","7","0.0","5881"
"201L8282","코스피200 C 201608 282.5","0.01","0.00","0.01","0.01","0.01","16.00","0.01","2","0.0","2"
"201L9195","코스피200 C 201609 195.0",,,,,,"10.00","56.35","0","0.0","36"
"201L9197","코스피200 C 201609 197.5",,,,,,"10.00","53.85","0","0.0","0"
"201L9200","코스피200 C 201609 200.0",,,,,,"10.00","51.35","0","0.0","2"
